,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
19,Code Geass: Hangyaku no Lelouch,51,20,8.7,1320444.0,2113483,103908,TV,25,Finished Airing,Fall,2006,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",['Sunrise'],"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",
20,One Piece,57,21,8.68,1188125.0,2106084,191550,TV,Unknown,Currently Airing,Fall,1999,"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",,Shounen
21,Toradora!,480,22,8.09,1309092.0,2087338,55101,TV,25,Finished Airing,Fall,2008,"['Genco', 'Starchild Records', 'Magic Capsule', 'Yomiuri Advertising', 'TV Tokyo Music']","['NIS America, Inc.']",['J.C.Staff'],"['Drama', 'Romance']","['Love Polygon', 'School']",
22,Shigatsu wa Kimi no Uso,68,23,8.65,1263170.0,2067896,82327,TV,22,Finished Airing,Fall,2014,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Aniplex of America'],['A-1 Pictures'],"['Drama', 'Romance']","['Music', 'School']",Shounen
23,Re:Zero kara Hajimeru Isekai Seikatsu,307,24,8.24,1320686.0,2049895,63697,TV,25,Finished Airing,Spring,2016,"['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Memory-Tech', 'Hakuhodo DY Music & Pictures']",['Funimation'],['White Fox'],"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",
24,Noragami,628,25,7.96,1207661.0,2044757,32282,TV,12,Finished Airing,Winter,2014,"['Avex Entertainment', 'Dentsu', 'Shochiku', 'Kodansha', 'Movic', 'Ai Addiction', 'Lawson HMV Entertainment', 'A-Sketch']",['Funimation'],['Bones'],"['Action', 'Fantasy']",Mythology,Shounen
25,Boku no Hero Academia 3rd Season,520,26,8.05,1346080.0,2040844,12761,TV,25,Finished Airing,Spring,2018,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],,"['School', 'Super Power']",Shounen
26,Shingeki no Kyojin Season 3 Part 2,7,27,9.06,1428129.0,2039398,54307,TV,10,Finished Airing,Spring,2019,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
27,Angel Beats!,505,28,8.06,1231643.0,1984503,47291,TV,13,Finished Airing,Spring,2010,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'CBC Television', 'Movic', 'Visual Arts', 'ASCII Media Works']","['Sentai Filmworks', 'Aniplex of America']",['P.A. Works'],"['Drama', 'Supernatural']",School,
28,Akame ga Kill!,1809,29,7.47,1233627.0,1962503,27727,TV,24,Finished Airing,Summer,2014,"['Nihon Ad Systems', 'Sony Music Entertainment', 'TOHO animation', 'Q-Tec', 'Fields', 'Jinnan Studio']",['Sentai Filmworks'],['White Fox'],"['Action', 'Fantasy']","['Gore', 'Super Power']",Shounen
