Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Fumetsu no Anata e,191,205,8.37,322858.0,785672,13251,TV,20,Finished Airing,Spring,2021,"""Brains Base""",Shounen
Zero no Tsukaima,2875,206,7.24,446706.0,784750,7809,TV,13,Finished Airing,Summer,2006,J.C.Staff,
Akira,383,207,8.16,473329.0,784476,12609,Movie,1,Finished Airing,,1988,Others,Seinen
Mushishi,62,208,8.66,264458.0,781317,25639,TV,26,Finished Airing,Fall,2005,Artland,Seinen
Danshi Koukousei no Nichijou,299,209,8.24,393294.0,779740,13664,TV,12,Finished Airing,Winter,2012,Sunrise,
"Komi-san wa, Comyushou desu.",644,210,7.95,400325.0,779646,11540,TV,12,Finished Airing,Fall,2021,OLM,Shounen
Toaru Majutsu no Index,2272,211,7.36,372914.0,778909,5411,TV,24,Finished Airing,Fall,2008,J.C.Staff,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,AIC Build,
Hotarubi no Mori e,260,213,8.29,435600.0,777664,9930,Movie,1,Finished Airing,,2011,"""Brains Base""",Shoujo
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Bones,Seinen
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,Others,Shoujo
Ookami to Koushinryou,311,216,8.23,375082.0,775149,17416,TV,13,Finished Airing,Winter,2008,Others,
Great Teacher Onizuka,55,217,8.69,381150.0,773314,24807,TV,43,Finished Airing,Summer,1999,Pierrot,Shounen
FLCL,542,218,8.03,411709.0,772855,28378,OVA,6,Finished Airing,,2000,Gainax,
FLCL,542,218,8.03,411709.0,772855,28378,OVA,6,Finished Airing,,2000,Production I.G,
Ookami Kodomo no Ame to Yuki,91,219,8.58,437410.0,771692,10989,Movie,1,Finished Airing,,2012,Others,
Dragon Ball Super,1972,220,7.43,496400.0,770981,9749,TV,131,Finished Airing,Summer,2015,Toei Animation,Shounen
Higurashi no Naku Koro ni,747,221,7.89,378418.0,770156,20533,TV,26,Finished Airing,Spring,2006,Studio Deen,
Koutetsujou no Kabaneri,2705,222,7.27,409297.0,768724,3386,TV,12,Finished Airing,Spring,2016,Wit Studio,
Kaguya-sama wa Kokurasetai: Ultra Romantic,6,223,9.06,413171.0,767899,27539,TV,13,Finished Airing,Spring,2022,A-1 Pictures,Seinen
Free!,2356,224,7.34,422662.0,765953,9386,TV,12,Finished Airing,Summer,2013,Kyoto Animation,
Free!,2356,224,7.34,422662.0,765953,9386,TV,12,Finished Airing,Summer,2013,Others,
High School DxD BorN,1979,225,7.43,485501.0,761458,3837,TV,12,Finished Airing,Spring,2015,TNK,
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,2863,226,7.24,414548.0,760521,3747,TV,12,Finished Airing,Summer,2015,J.C.Staff,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",1169,227,7.69,427758.0,759013,5952,TV,12,Finished Airing,Summer,2015,A-1 Pictures,
Toki wo Kakeru Shoujo,431,228,8.12,437152.0,755691,5714,Movie,1,Finished Airing,,2006,Madhouse,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2915,229,7.23,431252.0,755423,1996,TV,12,Finished Airing,Summer,2019,J.C.Staff,
InuYasha,798,230,7.86,371882.0,752639,17590,TV,167,Finished Airing,Fall,2000,Sunrise,Shounen
Fruits Basket 1st Season,315,231,8.22,353723.0,748954,14544,TV,25,Finished Airing,Spring,2019,TMS Entertainment,Shoujo
Shinsekai yori,252,232,8.29,267318.0,746707,21646,TV,25,Finished Airing,Fall,2012,A-1 Pictures,
Owari no Seraph: Nagoya Kessen-hen,1338,233,7.62,443415.0,742810,2875,TV,12,Finished Airing,Fall,2015,Wit Studio,Shounen
Yamada-kun to 7-nin no Majo,1535,234,7.56,421693.0,742551,3974,TV,12,Finished Airing,Spring,2015,LIDENFILMS,Shounen
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,47,235,8.71,446321.0,741818,16476,TV,12,Finished Airing,Fall,2021,Others,
Haikyuu!! To the Top Part 2,102,236,8.55,430380.0,733584,5835,TV,12,Finished Airing,Fall,2020,Production I.G,Shounen
K,1934,237,7.44,368589.0,731401,6595,TV,13,Finished Airing,Fall,2012,GoHands,
"Ijiranaide, Nagatoro-san",2437,238,7.33,385457.0,728822,8550,TV,12,Finished Airing,Spring,2021,Others,
Sakamoto desu ga?,1524,239,7.56,368422.0,727856,2532,TV,12,Finished Airing,Spring,2016,Studio Deen,Seinen
Kakegurui××,3086,240,7.2,433216.0,722699,1938,TV,12,Finished Airing,Winter,2019,MAPPA,Shounen
Ao no Exorcist: Kyoto Fujouou-hen,2281,241,7.36,387676.0,716567,1551,TV,12,Finished Airing,Winter,2017,A-1 Pictures,Shounen
Kuroko no Basket 3rd Season,248,242,8.3,441722.0,714485,4998,TV,25,Finished Airing,Winter,2015,Production I.G,Shounen
Monster Musume no Iru Nichijou,4176,243,6.98,410095.0,712387,3842,TV,12,Finished Airing,Summer,2015,Lerche,Seinen
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",2195,244,7.38,418829.0,710819,5631,TV,13,Finished Airing,Summer,2020,SILVER LINK.,
Grand Blue,161,245,8.43,380395.0,710439,17937,TV,12,Finished Airing,Summer,2018,Others,Seinen
Trigun,327,246,8.22,347955.0,709280,14515,TV,26,Finished Airing,Spring,1998,Madhouse,Shounen
Chuunibyou demo Koi ga Shitai! Ren,1543,247,7.55,424321.0,703534,2483,TV,12,Finished Airing,Winter,2014,Kyoto Animation,
Nisemonogatari,409,248,8.14,415355.0,703212,3834,TV,11,Finished Airing,Winter,2012,Shaft,
Kiznaiver,2190,249,7.38,341318.0,701509,4806,TV,12,Finished Airing,Spring,2016,Trigger,
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,141,250,8.46,440912.0,701530,4577,Movie,1,Finished Airing,,2019,J.C.Staff,
Boku no Hero Academia the Movie 1: Futari no Hero,1501,251,7.56,430331.0,698373,1372,Movie,1,Finished Airing,,2018,Bones,Shounen
Serial Experiments Lain,482,252,8.08,270145.0,697557,24738,TV,13,Finished Airing,Summer,1998,Others,
Sword Art Online: Alicization - War of Underworld,1464,253,7.58,414144.0,697028,3502,TV,12,Finished Airing,Fall,2019,A-1 Pictures,
Spy x Family Part 2,205,254,8.35,310009.0,695511,6510,TV,13,Finished Airing,Fall,2022,Wit Studio,Shounen
Spy x Family Part 2,205,254,8.35,310009.0,695511,6510,TV,13,Finished Airing,Fall,2022,CloverWorks,Shounen
NHK ni Youkoso!,237,255,8.31,315914.0,694110,24970,TV,24,Finished Airing,Summer,2006,Gonzo,
Wonder Egg Priority,1262,256,7.65,308541.0,692720,8650,TV,12,Finished Airing,Winter,2021,CloverWorks,
Hai to Gensou no Grimgar,1273,257,7.65,358353.0,691901,5894,TV,12,Finished Airing,Winter,2016,A-1 Pictures,
Domestic na Kanojo,5613,258,6.68,416974.0,691895,5528,TV,12,Finished Airing,Winter,2019,Diomedéa,Shounen
Enen no Shouboutai: Ni no Shou,891,259,7.81,359864.0,691531,2651,TV,24,Finished Airing,Summer,2020,David Production,Shounen
Accel World,2905,260,7.23,376637.0,691074,3866,TV,24,Finished Airing,Spring,2012,Sunrise,
Sword Art Online Movie: Ordinal Scale,1476,261,7.57,427014.0,687083,3395,Movie,1,Finished Airing,,2017,A-1 Pictures,
Tsurezure Children,1481,262,7.57,372098.0,686356,2616,TV,12,Finished Airing,Summer,2017,Studio Gokumi,Shounen
Eromanga-sensei,7457,263,6.37,404814.0,684595,2686,TV,12,Finished Airing,Spring,2017,A-1 Pictures,
Hellsing,1758,264,7.49,352099.0,684209,5822,TV,13,Finished Airing,Fall,2001,Gonzo,Seinen
Nanatsu no Taizai: Seisen no Shirushi,4133,265,6.99,410335.0,678571,784,TV,4,Finished Airing,Summer,2016,A-1 Pictures,Shounen
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,620,266,7.97,404865.0,678302,1394,TV,12,Finished Airing,Spring,2018,J.C.Staff,Shounen
Rokudenashi Majutsu Koushi to Akashic Records,3427,267,7.14,387311.0,677835,3146,TV,12,Finished Airing,Spring,2017,LIDENFILMS,
Nanatsu no Taizai: Kamigami no Gekirin,6960,268,6.45,385697.0,676840,1352,TV,24,Finished Airing,Fall,2019,Studio Deen,Shounen
Tate no Yuusha no Nariagari Season 2,6310,269,6.56,200911.0,673183,12386,TV,13,Finished Airing,Spring,2022,Kinema Citrus,
Tate no Yuusha no Nariagari Season 2,6310,269,6.56,200911.0,673183,12386,TV,13,Finished Airing,Spring,2022,Others,
91 Days,857,270,7.83,307311.0,673063,7598,TV,12,Finished Airing,Summer,2016,Shuka,
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,4655,271,6.87,394276.0,672500,2433,TV,12,Finished Airing,Summer,2018,Ajia-do,
D.Gray-man,563,272,8.02,278164.0,665929,13537,TV,103,Finished Airing,Fall,2006,TMS Entertainment,Shounen
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,194,273,8.37,359835.0,665315,13343,TV,12,Finished Airing,Summer,2020,feel.,
Ore no Imouto ga Konnani Kawaii Wake ga Nai,4196,274,6.97,376388.0,662414,4405,TV,12,Finished Airing,Fall,2010,AIC Build,
Nisekoi:,2323,275,7.35,407159.0,662035,1801,TV,12,Finished Airing,Spring,2015,Shaft,Shounen
Tonikaku Kawaii,733,276,7.9,372291.0,661630,9571,TV,12,Finished Airing,Fall,2020,Seven Arcs,Shounen
Blood Lad,2757,277,7.26,347940.0,660366,2005,TV,10,Finished Airing,Summer,2013,"""Brains Base""",Seinen
Rosario to Vampire,5187,278,6.76,383644.0,657172,3389,TV,13,Finished Airing,Winter,2008,Gonzo,Shounen
K-On!!,382,279,8.17,364298.0,657014,14121,TV,26,Finished Airing,Spring,2010,Kyoto Animation,
Himouto! Umaru-chan,3532,280,7.12,364314.0,656759,4359,TV,12,Finished Airing,Summer,2015,Doga Kobo,Seinen
86,267,281,8.27,327710.0,650588,15815,TV,11,Finished Airing,Spring,2021,A-1 Pictures,
Tensei shitara Slime Datta Ken 2nd Season Part 2,215,282,8.33,364786.0,650369,10273,TV,12,Finished Airing,Summer,2021,8bit,
Jujutsu Kaisen 0 Movie,134,283,8.49,327860.0,649739,8393,Movie,1,Finished Airing,,2021,MAPPA,Shounen
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,83,284,8.61,409120.0,646206,9762,Movie,1,Finished Airing,,2019,CloverWorks,
Kuzu no Honkai,3339,285,7.15,313992.0,645743,6172,TV,12,Finished Airing,Winter,2017,Lerche,Seinen
5-toubun no Hanayome ∬,467,286,8.09,383148.0,643859,11209,TV,12,Finished Airing,Winter,2021,Others,Shounen
Claymore,1050,287,7.74,313729.0,642674,8157,TV,26,Finished Airing,Spring,2007,Madhouse,Shounen
3-gatsu no Lion,187,288,8.38,265957.0,642253,14930,TV,22,Finished Airing,Fall,2016,Shaft,Seinen
Yuu☆Yuu☆Hakusho,147,289,8.45,309972.0,641997,21294,TV,112,Finished Airing,Fall,1992,Pierrot,Shounen
Shinmai Maou no Testament,5436,290,6.72,349832.0,641920,1963,TV,12,Finished Airing,Winter,2015,Production IMS,
Monogatari Series: Second Season,36,291,8.77,341458.0,638567,22898,TV,26,Finished Airing,Summer,2013,Shaft,
School Days,11564,292,5.53,382331.0,636031,3127,TV,12,Finished Airing,Summer,2007,TNK,
Ore Monogatari!!,706,293,7.91,304199.0,633811,4832,TV,24,Finished Airing,Spring,2015,Madhouse,Shoujo
Arifureta Shokugyou de Sekai Saikyou,5555,294,6.69,360490.0,632867,6044,TV,13,Finished Airing,Summer,2019,asread.,
Arifureta Shokugyou de Sekai Saikyou,5555,294,6.69,360490.0,632867,6044,TV,13,Finished Airing,Summer,2019,White Fox,
Akagami no Shirayuki-hime,987,295,7.76,311080.0,631949,7131,TV,12,Finished Airing,Summer,2015,Bones,Shoujo
Perfect Blue,110,296,8.53,336062.0,630786,17052,Movie,1,Finished Airing,,1998,Madhouse,
Gakusen Toshi Asterisk,4854,297,6.83,360125.0,630273,2165,TV,12,Finished Airing,Fall,2015,A-1 Pictures,
Barakamon,188,298,8.38,323565.0,628821,12446,TV,12,Finished Airing,Summer,2014,Kinema Citrus,
Amagi Brilliant Park,1811,299,7.47,337157.0,626438,2543,TV,13,Finished Airing,Fall,2014,Kyoto Animation,
Blend S,2649,300,7.28,351111.0,625895,2909,TV,12,Finished Airing,Fall,2017,A-1 Pictures,
Saenai Heroine no Sodatekata,1776,301,7.49,297914.0,625176,4189,TV,12,Finished Airing,Winter,2015,A-1 Pictures,
Psycho-Pass 2,2120,302,7.4,335008.0,623679,1448,TV,11,Finished Airing,Fall,2014,Tatsunoko Production,
Suki tte Ii na yo.,2019,303,7.42,341435.0,623210,4726,TV,13,Finished Airing,Fall,2012,Zexcs,Shoujo
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,4092,304,7.0,325856.0,623160,5294,TV,12,Finished Airing,Summer,2013,SILVER LINK.,
Lucky☆Star,1039,305,7.74,309783.0,622887,11625,TV,24,Finished Airing,Spring,2007,Kyoto Animation,
Hotaru no Haka,125,306,8.51,370719.0,622817,7400,Movie,1,Finished Airing,,1988,Studio Ghibli,
Satsuriku no Tenshi,4257,307,6.96,290649.0,618982,5260,TV,16,Finished Airing,Summer,2018,J.C.Staff,
Gamers!,5139,308,6.77,353716.0,617489,2100,TV,12,Finished Airing,Summer,2017,Others,
Strike the Blood,3863,309,7.05,301948.0,616328,2215,TV,24,Finished Airing,Fall,2013,SILVER LINK.,
Strike the Blood,3863,309,7.05,301948.0,616328,2215,TV,24,Finished Airing,Fall,2013,Connect,
IS: Infinite Stratos,5877,310,6.64,350210.0,614624,2247,TV,12,Finished Airing,Winter,2011,8bit,
Hataraku Saibou,1508,311,7.56,300143.0,614419,2228,TV,13,Finished Airing,Summer,2018,David Production,Shounen
Baka to Test to Shoukanjuu,1618,312,7.53,336671.0,614282,5545,TV,13,Finished Airing,Winter,2010,SILVER LINK.,
To LOVE-Ru,4147,313,6.99,310751.0,611607,4040,TV,26,Finished Airing,Spring,2008,Xebec,Shounen
Kamisama Hajimemashita,472,314,8.09,314325.0,610049,14030,TV,13,Finished Airing,Fall,2012,TMS Entertainment,Shoujo
Ergo Proxy,720,315,7.9,227024.0,608996,12743,TV,23,Finished Airing,Winter,2006,Manglobe,
Little Witch Academia (TV),873,316,7.82,298088.0,607240,7194,TV,25,Finished Airing,Winter,2017,Trigger,
Rokka no Yuusha,2695,317,7.28,319725.0,606577,2562,TV,12,Finished Airing,Summer,2015,Passione,
Kore wa Zombie desu ka?,2317,318,7.35,334428.0,606131,3099,TV,12,Finished Airing,Winter,2011,Studio Deen,
Date A Live II,3148,319,7.19,373329.0,604499,2166,TV,10,Finished Airing,Spring,2014,Production IMS,
Kami nomi zo Shiru Sekai,1238,320,7.66,322573.0,603871,5629,TV,12,Finished Airing,Fall,2010,Manglobe,Shounen
Inuyashiki,1275,321,7.65,292231.0,603378,3586,TV,11,Finished Airing,Fall,2017,MAPPA,Seinen
Nana,109,322,8.53,229744.0,603329,26396,TV,47,Finished Airing,Spring,2006,Madhouse,Shoujo
Dragon Ball GT,6829,323,6.47,405669.0,598330,1899,TV,64,Finished Airing,Winter,1996,Toei Animation,Shounen
Pokemon,2237,324,7.37,381392.0,597911,5020,TV,276,Finished Airing,Spring,1997,OLM,Kids
Great Pretender,303,325,8.24,288685.0,597191,9292,TV,23,Finished Airing,Summer,2020,Wit Studio,
Bakuman.,354,326,8.19,285937.0,595565,9284,TV,25,Finished Airing,Fall,2010,J.C.Staff,Shounen
Koukaku Kidoutai,275,327,8.27,309523.0,591933,12044,Movie,1,Finished Airing,,1995,Production I.G,Seinen
Kenpuu Denki Berserk,100,328,8.56,314992.0,591368,24618,TV,25,Finished Airing,Fall,1997,OLM,Seinen
Saiki Kusuo no Ψ-nan 2,159,329,8.43,351713.0,589592,3982,TV,24,Finished Airing,Winter,2018,J.C.Staff,Shounen
Saiki Kusuo no Ψ-nan 2,159,329,8.43,351713.0,589592,3982,TV,24,Finished Airing,Winter,2018,Others,Shounen
Log Horizon 2nd Season,1466,330,7.57,327630.0,587074,1386,TV,25,Finished Airing,Fall,2014,Studio Deen,
Sankarea,2628,331,7.29,301647.0,585754,2571,TV,12,Finished Airing,Spring,2012,Studio Deen,Shounen
Grisaia no Kajitsu,1756,332,7.49,300612.0,584732,4284,TV,13,Finished Airing,Fall,2014,8bit,
Suzumiya Haruhi no Shoushitsu,85,333,8.61,297103.0,582687,13077,Movie,1,Finished Airing,,2010,Kyoto Animation,
Toaru Kagaku no Railgun,1224,334,7.67,276055.0,581606,5763,TV,24,Finished Airing,Fall,2009,J.C.Staff,
Gintama°,5,335,9.07,232512.0,581042,15596,TV,51,Finished Airing,Spring,2015,Bandai Namco Pictures,Shounen
Sword Art Online Alternative: Gun Gale Online,4088,336,7.0,324767.0,580466,1448,TV,12,Finished Airing,Spring,2018,Others,
Vampire Knight,4532,337,6.89,341866.0,580120,7234,TV,13,Finished Airing,Spring,2008,Studio Deen,Shoujo
Nagi no Asu kara,609,338,7.98,246563.0,578832,9341,TV,26,Finished Airing,Fall,2013,P.A. Works,
Kimetsu no Yaiba: Mugen Ressha-hen,183,339,8.39,334457.0,576984,3705,TV,7,Finished Airing,Fall,2021,ufotable,Shounen
Zetsuen no Tempest,690,340,7.92,253517.0,573759,6459,TV,24,Finished Airing,Fall,2012,Bones,Shounen
Shiki,1043,341,7.74,248898.0,572226,8025,TV,22,Finished Airing,Summer,2010,Others,Shounen
Shokugeki no Souma: Shin no Sara,1034,342,7.75,329824.0,571787,1320,TV,12,Finished Airing,Fall,2019,J.C.Staff,Shounen
Beelzebub,796,343,7.86,269711.0,571273,5235,TV,60,Finished Airing,Winter,2011,Others,Shounen
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,1779,344,7.49,328964.0,566723,2059,TV,12,Finished Airing,Fall,2019,White Fox,
The Last: Naruto the Movie,936,345,7.79,376167.0,563289,2053,Movie,1,Finished Airing,,2014,Pierrot,Shounen
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,146,346,8.45,336941.0,562706,2507,Movie,1,Finished Airing,,2013,White Fox,
Ajin,2094,347,7.4,283313.0,562572,3057,TV,13,Finished Airing,Winter,2016,Others,Seinen
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,1886,348,7.45,300315.0,560876,3674,TV,10,Finished Airing,Winter,2013,Diomedéa,
Bungou Stray Dogs 3rd Season,314,349,8.22,291587.0,560204,4779,TV,12,Finished Airing,Spring,2019,Bones,Seinen
Hige wo Soru. Soshite Joshikousei wo Hirou.,2608,350,7.29,295462.0,558101,5967,TV,13,Finished Airing,Spring,2021,Project No.9,
Sword Art Online: Alicization - War of Underworld 2nd Season,1842,351,7.47,319434.0,556682,3060,TV,11,Finished Airing,Summer,2020,A-1 Pictures,
Lovely★Complex,532,352,8.03,277097.0,555365,9623,TV,24,Finished Airing,Spring,2007,Toei Animation,Shoujo
Karakai Jouzu no Takagi-san,1142,353,7.71,276554.0,555152,4987,TV,12,Finished Airing,Winter,2018,Shin-Ei Animation,Shounen
Hunter x Hunter,168,354,8.41,270492.0,554790,10295,TV,62,Finished Airing,Fall,1999,Others,Shounen
Kiss x Sis (TV),5958,355,6.62,327174.0,553802,1766,TV,12,Finished Airing,Spring,2010,feel.,Seinen
Gangsta.,2054,356,7.41,266732.0,547993,3564,TV,12,Finished Airing,Summer,2015,Manglobe,Seinen
Higashi no Eden,999,357,7.76,248852.0,544296,4146,TV,11,Finished Airing,Spring,2009,Production I.G,
Ousama Ranking,96,358,8.56,277750.0,541836,11539,TV,23,Finished Airing,Fall,2021,Wit Studio,
Kuroshitsuji II,3339,359,7.15,308056.0,541160,3115,TV,12,Finished Airing,Summer,2010,A-1 Pictures,Shounen
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,1853,360,7.46,274276.0,540200,1833,TV,12,Finished Airing,Fall,2020,J.C.Staff,
Jibaku Shounen Hanako-kun,828,361,7.85,263073.0,539607,11171,TV,12,Finished Airing,Winter,2020,Lerche,Shounen
Katekyo Hitman Reborn!,425,362,8.13,253068.0,538592,15728,TV,203,Finished Airing,Fall,2006,Artland,Shounen
Katanagatari,229,363,8.32,206203.0,538527,10619,TV,12,Finished Airing,Winter,2010,White Fox,
Kenja no Mago,5956,364,6.62,309714.0,537313,2761,TV,12,Finished Airing,Spring,2019,SILVER LINK.,
Kaifuku Jutsushi no Yarinaoshi,/A,365,6.34,307578.0,535401,5698,TV,12,Finished Airing,Winter,2021,TNK,
Majo no Takkyuubin,323,366,8.22,346510.0,533416,5173,Movie,1,Finished Airing,,1989,Studio Ghibli,
Drifters,719,367,7.9,258011.0,532901,3825,TV,12,Finished Airing,Fall,2016,Others,Seinen
Absolute Duo,7080,368,6.43,301849.0,530736,1463,TV,12,Finished Airing,Winter,2015,8bit,
Hajime no Ippo,40,369,8.75,258051.0,529705,19392,TV,75,Finished Airing,Fall,2000,Madhouse,Shounen
Nekomonogatari: Kuro,682,370,7.93,324476.0,529033,1197,TV,4,Finished Airing,Fall,2012,Shaft,
Gake no Ue no Ponyo,696,371,7.92,350983.0,528635,3627,Movie,1,Finished Airing,,2008,Studio Ghibli,
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,4326,372,6.94,277657.0,528340,1790,TV,13,Finished Airing,Winter,2013,A-1 Pictures,
Evangelion: 1.0 You Are (Not) Alone,569,373,8.01,324073.0,527221,1822,Movie,1,Finished Airing,,2007,Khara,
God Eater,3049,374,7.21,246113.0,525148,1903,TV,13,Finished Airing,Summer,2015,ufotable,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",1093,375,7.72,320959.0,522987,1829,TV,12,Finished Airing,Winter,2016,A-1 Pictures,
Violet Evergarden Movie,23,376,8.91,224297.0,522371,7895,Movie,1,Finished Airing,,2020,Kyoto Animation,
Boku no Hero Academia the Movie 2: Heroes:Rising,596,377,7.99,304678.0,521958,1767,Movie,1,Finished Airing,,2019,Bones,Shounen
Shakugan no Shana,1874,378,7.46,252141.0,520668,4966,TV,24,Finished Airing,Fall,2005,J.C.Staff,
Given,222,379,8.33,284090.0,520746,16256,TV,11,Finished Airing,Summer,2019,Lerche,
Mob Psycho 100 III,42,380,8.74,208092.0,519422,8008,TV,12,Finished Airing,Fall,2022,Bones,
Fruits Basket,1191,381,7.68,273538.0,518850,9137,TV,26,Finished Airing,Summer,2001,Studio Deen,Shoujo
Gosick,525,382,8.05,220959.0,518509,8012,TV,24,Finished Airing,Winter,2011,Bones,
Musaigen no Phantom World,4716,383,6.86,232092.0,516213,1291,TV,13,Finished Airing,Winter,2016,Kyoto Animation,
Boku wa Tomodachi ga Sukunai Next,2574,384,7.3,311782.0,513203,1206,TV,12,Finished Airing,Winter,2013,AIC Build,
Gintama',9,385,9.04,221488.0,512393,7596,TV,51,Finished Airing,Spring,2011,Sunrise,Shounen
Darwin's Game,2886,386,7.24,276449.0,511815,2402,TV,11,Finished Airing,Winter,2020,Others,Shounen
Natsume Yuujinchou,236,387,8.31,176890.0,510332,15031,TV,13,Finished Airing,Summer,2008,"""Brains Base""",Shoujo
Isekai wa Smartphone to Tomo ni.,8658,388,6.15,307298.0,509098,2727,TV,12,Finished Airing,Summer,2017,Others,
Tsuki ga Kirei,500,389,8.07,238667.0,509053,7617,TV,12,Finished Airing,Spring,2017,feel.,
Netoge no Yome wa Onnanoko ja Nai to Omotta?,5424,390,6.72,265321.0,508264,1169,TV,12,Finished Airing,Spring,2016,Project No.9,
Suzumiya Haruhi no Yuuutsu (2009),3021,391,7.22,292252.0,506600,2195,TV,14,Finished Airing,Spring,2009,Kyoto Animation,
Evangelion: 2.0 You Can (Not) Advance,242,392,8.31,310205.0,506477,3342,Movie,1,Finished Airing,,2009,Khara,
SK∞,534,393,8.03,253418.0,504854,12186,TV,12,Finished Airing,Winter,2021,Bones,
Kobayashi-san Chi no Maid Dragon S,232,394,8.32,241847.0,504607,5698,TV,12,Finished Airing,Summer,2021,Kyoto Animation,
Hajimete no Gal,7903,395,6.29,280553.0,504056,1524,TV,10,Finished Airing,Summer,2017,Others,Shounen
Ichiban Ushiro no Daimaou,5253,396,6.75,290842.0,502308,1220,TV,12,Finished Airing,Spring,2010,Artland,
Cyberpunk: Edgerunners,81,397,8.61,331730.0,501092,16526,ONA,10,Finished Airing,,2022,Trigger,
Summer Wars,535,398,8.03,284717.0,499938,3811,Movie,1,Finished Airing,,2009,Madhouse,
Kizumonogatari I: Tekketsu-hen,195,399,8.37,266520.0,497735,3330,Movie,1,Finished Airing,,2016,Shaft,
Aldnoah.Zero,2095,400,7.4,275251.0,495971,3465,TV,12,Finished Airing,Summer,2014,A-1 Pictures,
Aldnoah.Zero,2095,400,7.4,275251.0,495971,3465,TV,12,Finished Airing,Summer,2014,TROYCA,
Paprika,530,401,8.04,248834.0,495979,4194,Movie,1,Finished Airing,,2006,Madhouse,
Dorohedoro,506,402,8.06,248759.0,491139,7770,TV,12,Finished Airing,Winter,2020,MAPPA,Seinen
Shokugeki no Souma: Gou no Sara,2479,403,7.32,243087.0,487374,1267,TV,13,Finished Airing,Spring,2020,J.C.Staff,Shounen
Sousei no Onmyouji,2555,404,7.3,204398.0,486987,2867,TV,50,Finished Airing,Spring,2016,Pierrot,Shounen
Black Lagoon: The Second Barrage,377,405,8.17,299303.0,486989,2938,TV,12,Finished Airing,Fall,2006,Madhouse,Seinen
Citrus,6905,406,6.46,258110.0,486443,3688,TV,12,Finished Airing,Winter,2018,Passione,
Inu x Boku SS,2172,407,7.39,228370.0,486159,3172,TV,12,Finished Airing,Winter,2012,David Production,Shounen
Zero no Tsukaima: Futatsuki no Kishi,2093,408,7.41,299086.0,485760,1246,TV,12,Finished Airing,Summer,2007,J.C.Staff,
Megalo Box,762,409,7.88,256910.0,481779,3368,TV,13,Finished Airing,Spring,2018,TMS Entertainment,
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,1513,410,7.56,266775.0,480384,3468,TV,12,Finished Airing,Winter,2020,SILVER LINK.,
Vivy: Fluorite Eye's Song,165,411,8.42,215172.0,479303,9745,TV,13,Finished Airing,Spring,2021,Wit Studio,
Hinamatsuri (TV),402,412,8.15,236802.0,478714,4246,TV,12,Finished Airing,Spring,2018,feel.,Seinen
Shingeki no Kyojin: Kuinaki Sentaku,172,413,8.41,285755.0,478107,1835,OVA,2,Finished Airing,,2014,Wit Studio,
Full Metal Panic!,1366,414,7.61,234511.0,476372,4288,TV,24,Finished Airing,Winter,2002,Gonzo,
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,407,415,8.15,244673.0,476166,7015,TV,13,Finished Airing,Summer,2022,Lerche,
Usagi Drop,193,416,8.37,234467.0,474256,5973,TV,11,Finished Airing,Summer,2011,Production I.G,Josei
Yofukashi no Uta,552,417,8.03,187030.0,474140,6047,TV,13,Finished Airing,Summer,2022,LIDENFILMS,Shounen
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",/A,418,6.08,252681.0,474130,2260,TV,12,Finished Airing,Fall,2010,feel.,
Mayo Chiki!,2852,419,7.24,257531.0,473972,1842,TV,13,Finished Airing,Summer,2011,feel.,
Seitokai Yakuindomo,1524,420,7.56,214120.0,473933,3234,TV,13,Finished Airing,Summer,2010,GoHands,Shounen
High School DxD Hero,2822,421,7.25,258213.0,471768,2477,TV,12,Finished Airing,Spring,2018,Passione,
