Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Hoozuki no Reitetsu OVA,820,4834,7.85,7239,16739,17,OVA,4,Finished Airing,,2015,Comedy,Seinen
Hoozuki no Reitetsu OVA,820,4834,7.85,7239,16739,17,OVA,4,Finished Airing,,2015,Fantasy,Seinen
Hoozuki no Reitetsu OVA,820,4834,7.85,7239,16739,17,OVA,4,Finished Airing,,2015,Supernatural,Seinen
Ie Naki Ko,821,5094,7.85,4571,14491,258,TV,51,Finished Airing,Fall,1977,Adventure,Kids
Ie Naki Ko,821,5094,7.85,4571,14491,258,TV,51,Finished Airing,Fall,1977,Drama,Kids
Ie Naki Ko,821,5094,7.85,4571,14491,258,TV,51,Finished Airing,Fall,1977,Slice of Life,Kids
Jibaku Shounen Hanako-kun,822,361,7.85,262606,538487,11154,TV,12,Finished Airing,Winter,2020,,Shounen
K-On!,823,140,7.85,545552,998472,22931,TV,13,Finished Airing,Spring,2009,,
K-On!!: Keikaku!,824,1646,7.85,68201,119992,225,Special,1,Finished Airing,,2011,Comedy,
K-On!!: Keikaku!,824,1646,7.85,68201,119992,225,Special,1,Finished Airing,,2011,Slice of Life,
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,825,5175,7.85,6712,13892,31,OVA,1,Finished Airing,,2005,Comedy,Shoujo
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,825,5175,7.85,6712,13892,31,OVA,1,Finished Airing,,2005,Drama,Shoujo
Detective Conan Movie 23: The Fist of Blue Sapphire,826,3957,7.84,14002,26270,69,Movie,1,Finished Airing,,2019,Action,Shounen
Detective Conan Movie 23: The Fist of Blue Sapphire,826,3957,7.84,14002,26270,69,Movie,1,Finished Airing,,2019,Comedy,Shounen
Detective Conan Movie 23: The Fist of Blue Sapphire,826,3957,7.84,14002,26270,69,Movie,1,Finished Airing,,2019,Drama,Shounen
Detective Conan Movie 23: The Fist of Blue Sapphire,826,3957,7.84,14002,26270,69,Movie,1,Finished Airing,,2019,Mystery,Shounen
Gekkan Shoujo Nozaki-kun,827,167,7.84,483707,882305,10672,TV,12,Finished Airing,Summer,2014,Comedy,
Gekkan Shoujo Nozaki-kun,827,167,7.84,483707,882305,10672,TV,12,Finished Airing,Summer,2014,Romance,
Grisaia no Meikyuu: Caprice no Mayu 0,828,979,7.84,131699,220662,673,Special,1,Finished Airing,,2015,,
Heartcatch Precure!,829,3732,7.84,11066,29775,579,TV,49,Finished Airing,Winter,2010,Action,
Heartcatch Precure!,829,3732,7.84,11066,29775,579,TV,49,Finished Airing,Winter,2010,Comedy,
Heartcatch Precure!,829,3732,7.84,11066,29775,579,TV,49,Finished Airing,Winter,2010,Fantasy,
Id:Invaded,830,637,7.84,140777,333410,2661,TV,13,Finished Airing,Winter,2020,Mystery,
Id:Invaded,830,637,7.84,140777,333410,2661,TV,13,Finished Airing,Winter,2020,Sci-Fi,
Id:Invaded,830,637,7.84,140777,333410,2661,TV,13,Finished Airing,Winter,2020,Suspense,
Inu-Ou,831,4624,7.84,3925,18641,91,Movie,1,Finished Airing,,2022,,
K-On!: Live House!,832,1369,7.84,94087,153672,264,Special,1,Finished Airing,,2010,,
Kara no Kyoukai Movie 4: Garan no Dou,833,1056,7.84,124886,205915,303,Movie,1,Finished Airing,,2008,Action,
Kara no Kyoukai Movie 4: Garan no Dou,833,1056,7.84,124886,205915,303,Movie,1,Finished Airing,,2008,Mystery,
Kara no Kyoukai Movie 4: Garan no Dou,833,1056,7.84,124886,205915,303,Movie,1,Finished Airing,,2008,Supernatural,
Kara no Kyoukai Movie 4: Garan no Dou,833,1056,7.84,124886,205915,303,Movie,1,Finished Airing,,2008,Suspense,
Uchouten Kazoku,834,1321,7.84,52411,161110,1470,TV,13,Finished Airing,Summer,2013,Award Winning,
Uchouten Kazoku,834,1321,7.84,52411,161110,1470,TV,13,Finished Airing,Summer,2013,Comedy,
Uchouten Kazoku,834,1321,7.84,52411,161110,1470,TV,13,Finished Airing,Summer,2013,Drama,
Uchouten Kazoku,834,1321,7.84,52411,161110,1470,TV,13,Finished Airing,Summer,2013,Fantasy,
Uchouten Kazoku,834,1321,7.84,52411,161110,1470,TV,13,Finished Airing,Summer,2013,Slice of Life,
Urusei Yatsura 2: Beautiful Dreamer,835,4683,7.84,7978,18102,232,Movie,1,Finished Airing,,1984,Action,Shounen
Urusei Yatsura 2: Beautiful Dreamer,835,4683,7.84,7978,18102,232,Movie,1,Finished Airing,,1984,Adventure,Shounen
Urusei Yatsura 2: Beautiful Dreamer,835,4683,7.84,7978,18102,232,Movie,1,Finished Airing,,1984,Comedy,Shounen
Urusei Yatsura 2: Beautiful Dreamer,835,4683,7.84,7978,18102,232,Movie,1,Finished Airing,,1984,Drama,Shounen
