Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Genres,Demographic
Clannad: After Story,16,111,8.94,630878,1130850,68334,TV,24,Finished Airing,Fall,2008,Kyoto Animation,Drama,
Clannad: After Story,16,111,8.94,630878,1130850,68334,TV,24,Finished Airing,Fall,2008,Kyoto Animation,Romance,
Clannad: After Story,16,111,8.94,630878,1130850,68334,TV,24,Finished Airing,Fall,2008,Kyoto Animation,Supernatural,
Gintama,17,139,8.94,374638,1003597,56937,TV,201,Finished Airing,Spring,2006,Sunrise,Action,Shounen
Gintama,17,139,8.94,374638,1003597,56937,TV,201,Finished Airing,Spring,2006,Sunrise,Comedy,Shounen
Gintama,17,139,8.94,374638,1003597,56937,TV,201,Finished Airing,Spring,2006,Sunrise,Sci-Fi,Shounen
Koe no Katachi,18,19,8.94,1481502,2132723,81535,Movie,1,Finished Airing,,2016,Kyoto Animation,Award Winning,Shounen
Koe no Katachi,18,19,8.94,1481502,2132723,81535,Movie,1,Finished Airing,,2016,Kyoto Animation,Drama,Shounen
Bocchi the Rock!,19,635,8.92,184106,334574,16214,TV,12,Finished Airing,Fall,2022,CloverWorks,,
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,20,959,8.92,127363,224169,2069,Movie,1,Finished Airing,,2013,Sunrise,Action,Shounen
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,20,959,8.92,127363,224169,2069,Movie,1,Finished Airing,,2013,Sunrise,Comedy,Shounen
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,20,959,8.92,127363,224169,2069,Movie,1,Finished Airing,,2013,Sunrise,Sci-Fi,Shounen
Code Geass: Hangyaku no Lelouch R2,21,47,8.91,1123594,1664362,73613,TV,25,Finished Airing,Spring,2008,Sunrise,Action,
Code Geass: Hangyaku no Lelouch R2,21,47,8.91,1123594,1664362,73613,TV,25,Finished Airing,Spring,2008,Sunrise,Award Winning,
Code Geass: Hangyaku no Lelouch R2,21,47,8.91,1123594,1664362,73613,TV,25,Finished Airing,Spring,2008,Sunrise,Drama,
Code Geass: Hangyaku no Lelouch R2,21,47,8.91,1123594,1664362,73613,TV,25,Finished Airing,Spring,2008,Sunrise,Sci-Fi,
Violet Evergarden Movie,22,378,8.91,222929,519716,7871,Movie,1,Finished Airing,,2020,Kyoto Animation,Award Winning,
Violet Evergarden Movie,22,378,8.91,222929,519716,7871,Movie,1,Finished Airing,,2020,Kyoto Animation,Drama,
Violet Evergarden Movie,22,378,8.91,222929,519716,7871,Movie,1,Finished Airing,,2020,Kyoto Animation,Fantasy,
Owarimonogatari 2nd Season,23,556,8.89,179290,371875,8353,TV,7,Finished Airing,Summer,2017,Shaft,Comedy,
Owarimonogatari 2nd Season,23,556,8.89,179290,371875,8353,TV,7,Finished Airing,Summer,2017,Shaft,Mystery,
Owarimonogatari 2nd Season,23,556,8.89,179290,371875,8353,TV,7,Finished Airing,Summer,2017,Shaft,Supernatural,
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,24,1187,8.88,86789,179916,1007,TV,14,Finished Airing,Summer,2018,Bandai Namco Pictures,Action,Shounen
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,24,1187,8.88,86789,179916,1007,TV,14,Finished Airing,Summer,2018,Bandai Namco Pictures,Comedy,Shounen
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,24,1187,8.88,86789,179916,1007,TV,14,Finished Airing,Summer,2018,Bandai Namco Pictures,Sci-Fi,Shounen
Monster,25,149,8.86,346069,965601,44599,TV,74,Finished Airing,Spring,2004,Madhouse,Drama,Seinen
Monster,25,149,8.86,346069,965601,44599,TV,74,Finished Airing,Spring,2004,Madhouse,Mystery,Seinen
Monster,25,149,8.86,346069,965601,44599,TV,74,Finished Airing,Spring,2004,Madhouse,Suspense,Seinen
Kimi no Na wa.,26,11,8.85,1760949,2530135,85552,Movie,1,Finished Airing,,2016,CoMix Wave Films,Award Winning,
Kimi no Na wa.,26,11,8.85,1760949,2530135,85552,Movie,1,Finished Airing,,2016,CoMix Wave Films,Drama,
Kimi no Na wa.,26,11,8.85,1760949,2530135,85552,Movie,1,Finished Airing,,2016,CoMix Wave Films,Supernatural,
Kimetsu no Yaiba: Yuukaku-hen,27,108,8.82,698368,1146048,22655,TV,11,Finished Airing,Winter,2022,ufotable,Action,Shounen
Kimetsu no Yaiba: Yuukaku-hen,27,108,8.82,698368,1146048,22655,TV,11,Finished Airing,Winter,2022,ufotable,Fantasy,Shounen
Gintama.: Shirogane no Tamashii-hen,28,1106,8.81,95029,194301,1120,TV,12,Finished Airing,Winter,2018,Bandai Namco Pictures,Action,Shounen
Gintama.: Shirogane no Tamashii-hen,28,1106,8.81,95029,194301,1120,TV,12,Finished Airing,Winter,2018,Bandai Namco Pictures,Comedy,Shounen
Gintama.: Shirogane no Tamashii-hen,28,1106,8.81,95029,194301,1120,TV,12,Finished Airing,Winter,2018,Bandai Namco Pictures,Sci-Fi,Shounen
Kingdom 3rd Season,29,2067,8.81,32002,86559,1726,TV,26,Finished Airing,Spring,2020,Pierrot,,Seinen
Kingdom 3rd Season,29,2067,8.81,32002,86559,1726,TV,26,Finished Airing,Spring,2020,Others,,Seinen
Shingeki no Kyojin: The Final Season,30,41,8.81,1172254,1778901,50867,TV,16,Finished Airing,Winter,2021,MAPPA,Action,Shounen
Shingeki no Kyojin: The Final Season,30,41,8.81,1172254,1778901,50867,TV,16,Finished Airing,Winter,2021,MAPPA,Drama,Shounen
Mob Psycho 100 II,31,76,8.8,872693,1388309,31273,TV,13,Finished Airing,Winter,2019,Bones,Action,
Mob Psycho 100 II,31,76,8.8,872693,1388309,31273,TV,13,Finished Airing,Winter,2019,Bones,Comedy,
Mob Psycho 100 II,31,76,8.8,872693,1388309,31273,TV,13,Finished Airing,Winter,2019,Bones,Supernatural,
Kizumonogatari III: Reiketsu-hen,32,467,8.79,249772,430428,7120,Movie,1,Finished Airing,,2017,Shaft,Action,
Kizumonogatari III: Reiketsu-hen,32,467,8.79,249772,430428,7120,Movie,1,Finished Airing,,2017,Shaft,Mystery,
Kizumonogatari III: Reiketsu-hen,32,467,8.79,249772,430428,7120,Movie,1,Finished Airing,,2017,Shaft,Supernatural,
Sen to Chihiro no Kamikakushi,33,44,8.78,1205808,1718812,30422,Movie,1,Finished Airing,,2001,Studio Ghibli,Adventure,
Sen to Chihiro no Kamikakushi,33,44,8.78,1205808,1718812,30422,Movie,1,Finished Airing,,2001,Studio Ghibli,Award Winning,
Sen to Chihiro no Kamikakushi,33,44,8.78,1205808,1718812,30422,Movie,1,Finished Airing,,2001,Studio Ghibli,Supernatural,
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,34,114,8.78,740657,1114967,15035,TV,10,Finished Airing,Fall,2016,Production I.G,,Shounen
Monogatari Series: Second Season,35,291,8.77,340971,637694,22897,TV,26,Finished Airing,Summer,2013,Shaft,Comedy,
Monogatari Series: Second Season,35,291,8.77,340971,637694,22897,TV,26,Finished Airing,Summer,2013,Shaft,Mystery,
Monogatari Series: Second Season,35,291,8.77,340971,637694,22897,TV,26,Finished Airing,Summer,2013,Shaft,Romance,
Monogatari Series: Second Season,35,291,8.77,340971,637694,22897,TV,26,Finished Airing,Summer,2013,Shaft,Supernatural,
Shingeki no Kyojin: The Final Season Part 2,36,125,8.77,574330,1062429,28482,TV,12,Finished Airing,Winter,2022,MAPPA,Action,Shounen
Shingeki no Kyojin: The Final Season Part 2,36,125,8.77,574330,1062429,28482,TV,12,Finished Airing,Winter,2022,MAPPA,Drama,Shounen
Shiguang Dailiren,37,788,8.75,95849,276201,8811,ONA,11,Finished Airing,,2021,Others,Drama,
Shiguang Dailiren,37,788,8.75,95849,276201,8811,ONA,11,Finished Airing,,2021,Others,Supernatural,
Cowboy Bebop,38,43,8.75,891443,1730094,76750,TV,26,Finished Airing,Spring,1998,Sunrise,Action,
Cowboy Bebop,38,43,8.75,891443,1730094,76750,TV,26,Finished Airing,Spring,1998,Sunrise,Award Winning,
Cowboy Bebop,38,43,8.75,891443,1730094,76750,TV,26,Finished Airing,Spring,1998,Sunrise,Sci-Fi,
Hajime no Ippo,39,370,8.75,257106,527817,19323,TV,75,Finished Airing,Fall,2000,Madhouse,,Shounen
Kingdom 4th Season,40,2845,8.75,18661,49596,899,TV,26,Finished Airing,Spring,2022,Pierrot,,Seinen
Kingdom 4th Season,40,2845,8.75,18661,49596,899,TV,26,Finished Airing,Spring,2022,Others,,Seinen
Mob Psycho 100 III,41,383,8.74,202086,512628,7880,TV,12,Finished Airing,Fall,2022,Bones,Action,
Mob Psycho 100 III,41,383,8.74,202086,512628,7880,TV,12,Finished Airing,Fall,2022,Bones,Comedy,
Mob Psycho 100 III,41,383,8.74,202086,512628,7880,TV,12,Finished Airing,Fall,2022,Bones,Supernatural,
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Artland,Adventure,Seinen
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Artland,Fantasy,Seinen
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Artland,Mystery,Seinen
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Artland,Slice of Life,Seinen
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Artland,Supernatural,Seinen
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,43,1202,8.73,61719,177640,3051,TV,12,Finished Airing,Winter,2017,Studio Deen,,Josei
Vinland Saga,44,90,8.73,714701,1282602,39424,TV,24,Finished Airing,Summer,2019,Wit Studio,Action,Seinen
Vinland Saga,44,90,8.73,714701,1282602,39424,TV,24,Finished Airing,Summer,2019,Wit Studio,Adventure,Seinen
Vinland Saga,44,90,8.73,714701,1282602,39424,TV,24,Finished Airing,Summer,2019,Wit Studio,Drama,Seinen
Vinland Saga Season 2,45,650,8.73,40924,325864,3430,TV,24,Currently Airing,Winter,2023,MAPPA,Action,Seinen
Vinland Saga Season 2,45,650,8.73,40924,325864,3430,TV,24,Currently Airing,Winter,2023,MAPPA,Adventure,Seinen
Vinland Saga Season 2,45,650,8.73,40924,325864,3430,TV,24,Currently Airing,Winter,2023,MAPPA,Drama,Seinen
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,46,235,8.71,443198,737498,16407,TV,12,Finished Airing,Fall,2021,Others,Drama,
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,46,235,8.71,443198,737498,16407,TV,12,Finished Airing,Fall,2021,Others,Fantasy,
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,46,235,8.71,443198,737498,16407,TV,12,Finished Airing,Fall,2021,Others,Ecchi,
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Studio Deen,Action,Shounen
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Studio Deen,Drama,Shounen
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Studio Deen,Romance,Shounen
86 Part 2,48,509,8.71,215262,401743,11980,TV,12,Finished Airing,Fall,2021,A-1 Pictures,Action,
86 Part 2,48,509,8.71,215262,401743,11980,TV,12,Finished Airing,Fall,2021,A-1 Pictures,Drama,
86 Part 2,48,509,8.71,215262,401743,11980,TV,12,Finished Airing,Fall,2021,A-1 Pictures,Sci-Fi,
Ashita no Joe 2,49,2959,8.71,17930,46190,2341,TV,47,Finished Airing,Fall,1980,Tokyo Movie Shinsha,Drama,Shounen
Ashita no Joe 2,49,2959,8.71,17930,46190,2341,TV,47,Finished Airing,Fall,1980,Tokyo Movie Shinsha,Sports,Shounen
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Sunrise,Action,
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Sunrise,Award Winning,
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Sunrise,Drama,
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Sunrise,Sci-Fi,
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Artland,Adventure,Seinen
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Artland,Fantasy,Seinen
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Artland,Mystery,Seinen
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Artland,Slice of Life,Seinen
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Artland,Supernatural,Seinen
Odd Taxi,52,561,8.7,181438,369746,7385,TV,13,Finished Airing,Spring,2021,OLM,Award Winning,
Odd Taxi,52,561,8.7,181438,369746,7385,TV,13,Finished Airing,Spring,2021,OLM,Mystery,
Odd Taxi,52,561,8.7,181438,369746,7385,TV,13,Finished Airing,Spring,2021,Others,Award Winning,
Odd Taxi,52,561,8.7,181438,369746,7385,TV,13,Finished Airing,Spring,2021,Others,Mystery,
Fate/stay night Movie: Heaven's Feel - III. Spring Song,53,695,8.69,161090,310515,7512,Movie,1,Finished Airing,,2020,ufotable,Action,
Fate/stay night Movie: Heaven's Feel - III. Spring Song,53,695,8.69,161090,310515,7512,Movie,1,Finished Airing,,2020,ufotable,Fantasy,
Fate/stay night Movie: Heaven's Feel - III. Spring Song,53,695,8.69,161090,310515,7512,Movie,1,Finished Airing,,2020,ufotable,Supernatural,
Great Teacher Onizuka,54,217,8.69,380479,771832,24763,TV,43,Finished Airing,Summer,1999,Pierrot,Comedy,Shounen
Great Teacher Onizuka,54,217,8.69,380479,771832,24763,TV,43,Finished Airing,Summer,1999,Pierrot,Drama,Shounen
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,55,1665,8.69,74696,118255,2064,ONA,14,Finished Airing,,2022,David Production,Action,Shounen
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,55,1665,8.69,74696,118255,2064,ONA,14,Finished Airing,,2022,David Production,Adventure,Shounen
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,55,1665,8.69,74696,118255,2064,ONA,14,Finished Airing,,2022,David Production,Supernatural,Shounen
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Kinema Citrus,Adventure,
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Kinema Citrus,Drama,
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Kinema Citrus,Fantasy,
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Kinema Citrus,Mystery,
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Kinema Citrus,Sci-Fi,
One Piece,57,21,8.68,1184231,2099605,190799,TV,0,Currently Airing,Fall,1999,Toei Animation,Action,Shounen
One Piece,57,21,8.68,1184231,2099605,190799,TV,0,Currently Airing,Fall,1999,Toei Animation,Adventure,Shounen
One Piece,57,21,8.68,1184231,2099605,190799,TV,0,Currently Airing,Fall,1999,Toei Animation,Fantasy,Shounen
Mononoke Hime,58,105,8.67,751876,1163853,20160,Movie,1,Finished Airing,,1997,Studio Ghibli,Action,
Mononoke Hime,58,105,8.67,751876,1163853,20160,Movie,1,Finished Airing,,1997,Studio Ghibli,Adventure,
Mononoke Hime,58,105,8.67,751876,1163853,20160,Movie,1,Finished Airing,,1997,Studio Ghibli,Award Winning,
Mononoke Hime,58,105,8.67,751876,1163853,20160,Movie,1,Finished Airing,,1997,Studio Ghibli,Fantasy,
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,Wit Studio,Action,Shounen
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,Wit Studio,Award Winning,Shounen
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,Wit Studio,Comedy,Shounen
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,CloverWorks,Action,Shounen
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,CloverWorks,Award Winning,Shounen
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,CloverWorks,Comedy,Shounen
Violet Evergarden,60,50,8.67,888777,1632375,56198,TV,13,Finished Airing,Winter,2018,Kyoto Animation,Drama,
Violet Evergarden,60,50,8.67,888777,1632375,56198,TV,13,Finished Airing,Winter,2018,Kyoto Animation,Fantasy,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Kinema Citrus,Adventure,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Kinema Citrus,Drama,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Kinema Citrus,Fantasy,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Kinema Citrus,Mystery,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Kinema Citrus,Sci-Fi,
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Artland,Adventure,Seinen
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Artland,Fantasy,Seinen
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Artland,Mystery,Seinen
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Artland,Slice of Life,Seinen
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Artland,Supernatural,Seinen
Hajime no Ippo: New Challenger,63,828,8.66,152230,260166,1671,TV,26,Finished Airing,Winter,2009,Madhouse,,Shounen
Howl no Ugoku Shiro,64,95,8.66,841499,1217924,25958,Movie,1,Finished Airing,,2004,Studio Ghibli,Adventure,
Howl no Ugoku Shiro,64,95,8.66,841499,1217924,25958,Movie,1,Finished Airing,,2004,Studio Ghibli,Award Winning,
Howl no Ugoku Shiro,64,95,8.66,841499,1217924,25958,Movie,1,Finished Airing,,2004,Studio Ghibli,Drama,
Howl no Ugoku Shiro,64,95,8.66,841499,1217924,25958,Movie,1,Finished Airing,,2004,Studio Ghibli,Fantasy,
Howl no Ugoku Shiro,64,95,8.66,841499,1217924,25958,Movie,1,Finished Airing,,2004,Studio Ghibli,Romance,
Chainsaw Man,65,109,8.65,522282,1140315,37805,TV,12,Finished Airing,Fall,2022,MAPPA,Action,Shounen
Chainsaw Man,65,109,8.65,522282,1140315,37805,TV,12,Finished Airing,Fall,2022,MAPPA,Fantasy,Shounen
Jujutsu Kaisen,66,17,8.65,1394028,2155282,78790,TV,24,Finished Airing,Fall,2020,MAPPA,Action,Shounen
Jujutsu Kaisen,66,17,8.65,1394028,2155282,78790,TV,24,Finished Airing,Fall,2020,MAPPA,Award Winning,Shounen
Jujutsu Kaisen,66,17,8.65,1394028,2155282,78790,TV,24,Finished Airing,Fall,2020,MAPPA,Fantasy,Shounen
Natsume Yuujinchou Shi,67,926,8.65,103046,232373,1933,TV,13,Finished Airing,Winter,2012,"""Brains Base""",Drama,Shoujo
Natsume Yuujinchou Shi,67,926,8.65,103046,232373,1933,TV,13,Finished Airing,Winter,2012,"""Brains Base""",Slice of Life,Shoujo
Natsume Yuujinchou Shi,67,926,8.65,103046,232373,1933,TV,13,Finished Airing,Winter,2012,"""Brains Base""",Supernatural,Shoujo
Shigatsu wa Kimi no Uso,68,23,8.65,1260984,2063882,82237,TV,22,Finished Airing,Fall,2014,A-1 Pictures,Drama,Shounen
Shigatsu wa Kimi no Uso,68,23,8.65,1260984,2063882,82237,TV,22,Finished Airing,Fall,2014,A-1 Pictures,Romance,Shounen
Haikyuu!! Second Season,69,84,8.64,879528,1330581,15396,TV,25,Finished Airing,Fall,2015,Production I.G,,Shounen
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,70,96,8.64,774563,1215628,18521,TV,12,Finished Airing,Spring,2020,A-1 Pictures,,Seinen
Bungou Stray Dogs 4th Season,71,1167,8.63,16474,182664,1848,TV,13,Currently Airing,Winter,2023,Bones,Action,Seinen
Bungou Stray Dogs 4th Season,71,1167,8.63,16474,182664,1848,TV,13,Currently Airing,Winter,2023,Bones,Mystery,Seinen
Bungou Stray Dogs 4th Season,71,1167,8.63,16474,182664,1848,TV,13,Currently Airing,Winter,2023,Bones,Supernatural,Seinen
Kimetsu no Yaiba Movie: Mugen Ressha-hen,72,86,8.63,870876,1328020,12416,Movie,1,Finished Airing,,2020,ufotable,Action,Shounen
Kimetsu no Yaiba Movie: Mugen Ressha-hen,72,86,8.63,870876,1328020,12416,Movie,1,Finished Airing,,2020,ufotable,Fantasy,Shounen
