Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,VIZ Media,Pierrot,Fantasy,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,VIZ Media,Pierrot,Fantasy,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,VIZ Media,Pierrot,Fantasy,,Shounen
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Suspense,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,Funimation,White Fox,Suspense,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,Funimation,White Fox,Suspense,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,Funimation,White Fox,Suspense,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,Funimation,White Fox,Suspense,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,Funimation,White Fox,Suspense,Time Travel,
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Action,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Action,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Action,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Action,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Comedy,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Comedy,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Comedy,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Comedy,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Sci-Fi,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Sci-Fi,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Sci-Fi,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Funimation,Bandai Namco Pictures,Sci-Fi,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Action,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Action,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Action,Parody,Shounen
