Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
Naruto,610,8,7.98,1847329.0,2663995,74878,TV,220,Finished Airing,Fall,2002,TV Tokyo,Shounen
Naruto,610,8,7.98,1847329.0,2663995,74878,TV,220,Finished Airing,Fall,2002,Aniplex,Shounen
Naruto,610,8,7.98,1847329.0,2663995,74878,TV,220,Finished Airing,Fall,2002,Shueisha,Shounen
Tokyo Ghoul,937,9,7.79,1759880.0,2651291,48566,TV,12,Finished Airing,Summer,2014,Marvelous AQL,Seinen
Tokyo Ghoul,937,9,7.79,1759880.0,2651291,48566,TV,12,Finished Airing,Summer,2014,TC Entertainment,Seinen
Tokyo Ghoul,937,9,7.79,1759880.0,2651291,48566,TV,12,Finished Airing,Summer,2014,Shueisha,Seinen
Hunter x Hunter (2011),10,10,9.04,1609853.0,2591046,196344,TV,148,Finished Airing,Fall,2011,VAP,Shounen
Hunter x Hunter (2011),10,10,9.04,1609853.0,2591046,196344,TV,148,Finished Airing,Fall,2011,Nippon Television Network,Shounen
Hunter x Hunter (2011),10,10,9.04,1609853.0,2591046,196344,TV,148,Finished Airing,Fall,2011,Shueisha,Shounen
Kimi no Na wa.,27,11,8.85,1764687.0,2536015,85702,Movie,1,Finished Airing,,2016,Toho,
