,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kill la Kill,529,51,8.04,904963,1633317,36472,TV,24,Finished Airing,Fall,2013,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment']",['Aniplex of America'],['Trigger'],"['Action', 'Comedy', 'Ecchi']","['School', 'Super Power']",N/A
1,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,293,52,8.25,1014369,1596440,44175,TV,13,Finished Airing,Fall,2018,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']",['Aniplex of America'],['CloverWorks'],"['Drama', 'Romance', 'Supernatural']",School,N/A
2,Boku no Hero Academia 4th Season,691,53,7.92,991346,1590512,8187,TV,25,Finished Airing,Fall,2019,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],N/A,"['School', 'Super Power']",Shounen
3,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,169,54,8.41,999315,1585890,36661,TV,12,Finished Airing,Winter,2019,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],N/A,"['Psychological', 'Romantic Subtext', 'School']",Seinen
4,Another,1798,55,7.48,943386,1580516,16826,TV,12,Finished Airing,Winter,2012,"['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo']",['Sentai Filmworks'],['P.A. Works'],"['Horror', 'Mystery', 'Supernatural']","['Gore', 'School']",N/A
5,Dr. Stone,258,56,8.29,954064,1579685,26050,TV,24,Finished Airing,Summer,2019,"['TOHO animation', 'Shueisha', '8PAN']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']","['Survival', 'Time Travel']",Shounen
6,Shokugeki no Souma,395,57,8.16,953057,1560686,23366,TV,24,Finished Airing,Spring,2015,"['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will']",['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
7,One Punch Man 2nd Season,1770,58,7.49,926296,1549964,6140,TV,12,Finished Airing,Spring,2019,"['TV Tokyo', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications', 'Bandai Namco Arts', 'Bandai Spirits']",['VIZ Media'],['J.C.Staff'],"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",Seinen
8,Psycho-Pass,211,59,8.34,746191,1544108,37310,TV,22,Finished Airing,Fall,2012,"['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Funimation'],['Production I.G'],"['Action', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",N/A
9,Soul Eater,844,60,7.84,806788,1541451,25611,TV,51,Finished Airing,Spring,2008,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Media Factory']",['Funimation'],['Bones'],"['Action', 'Comedy', 'Fantasy']",School,Shounen
10,JoJo no Kimyou na Bouken (TV),725,61,7.9,989076,1534470,35269,TV,26,Finished Airing,Fall,2012,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']","['VIZ Media', 'Warner Bros. Pictures']",['David Production'],"['Action', 'Adventure', 'Supernatural']",Vampire,Shounen
11,Darling in the FranXX,2981,62,7.22,948723,1533803,30636,TV,24,Finished Airing,Winter,2018,"['Aniplex', 'Khara', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment', 'Tokyo MX', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'BS11', 'Lawson', 'ABC Animation', 'Rialto Entertainment']",['Funimation'],"['A-1 Pictures', 'Trigger', 'CloverWorks']","['Action', 'Drama', 'Romance', 'Sci-Fi']",Mecha,N/A
