,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Mawaru Penguindrum,648,751,7.95,104792,288989,7154,TV,24,Finished Airing,Summer,2011,"['Starchild Records', 'Mainichi Broadcasting System']",['Sentai Filmworks'],"[""Brain's Base""]","['Avant Garde', 'Comedy', 'Drama', 'Mystery']",Psychological,N/A
1,Kono Bijutsu-bu ni wa Mondai ga Aru!,3127,752,7.19,122743,288470,752,TV,12,Finished Airing,Summer,2016,"['TBS', 'DAX Production', 'ASCII Media Works', 'King Records']",['Maiden Japan'],['feel.'],"['Comedy', 'Romance']","['School', 'Visual Arts']",Seinen
2,Densetsu no Yuusha no Densetsu,1662,753,7.52,133058,288017,1961,TV,24,Finished Airing,Summer,2010,"['Lantis', 'Media Factory', 'Kadokawa Contents Gate', 'Fujimi Shobo']",['Funimation'],['Zexcs'],"['Action', 'Adventure', 'Fantasy']",N/A,N/A
3,Amnesia,9459,754,6.0,144969,286838,1002,TV,12,Finished Airing,Winter,2013,"['Geneon Universal Entertainment', 'Frontier Works', 'Movic', 'AT-X', 'DAX Production', 'Showgate']",['Sentai Filmworks'],"[""Brain's Base""]","['Fantasy', 'Mystery', 'Romance']",Reverse Harem,Josei
4,Tokyo Magnitude 8.0,578,755,8.01,120865,286418,1734,TV,11,Finished Airing,Summer,2009,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Sakura Create']",['Maiden Japan'],"['Bones', 'Kinema Citrus']","['Award Winning', 'Drama']",N/A,N/A
5,Full Metal Panic? Fumoffu,544,756,8.03,170437,286346,2896,TV,12,Finished Airing,Summer,2003,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']","['ADV Films', 'Funimation']",['Kyoto Animation'],"['Action', 'Comedy']","['Gag Humor', 'School']",N/A
6,Oda Nobuna no Yabou,2140,757,7.39,141934,285616,1134,TV,12,Finished Airing,Summer,2012,"['Pony Canyon', 'AT-X', 'KlockWorx', 'SoftBank Creative']",['Sentai Filmworks'],"['Madhouse', 'Studio Gokumi']","['Action', 'Comedy', 'Romance']","['Harem', 'Historical', 'Time Travel']",N/A
7,Shingeki no Kyojin: Lost Girls,903,758,7.81,144787,285268,533,OVA,3,Finished Airing,N/A,2017,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise']",['add some'],['Wit Studio'],"['Action', 'Drama']",N/A,N/A
8,Deca-Dence,2179,759,7.38,127185,284773,851,TV,12,Finished Airing,Summer,2020,"['AT-X', 'BS11', 'Kadokawa Media House', 'Kadokawa', 'NewGin']",['Funimation'],['Nut'],"['Action', 'Adventure', 'Sci-Fi']",N/A,N/A
9,Fuuka,6606,760,6.51,142334,284488,872,TV,12,Finished Airing,Winter,2017,"['Studio Tulip', 'Magic Capsule', 'Warner Bros. Japan', 'flying DOG']","['Funimation', 'Crunchyroll']",['Diomedéa'],"['Drama', 'Romance', 'Ecchi']","['Music', 'School']",Shounen
10,Girls & Panzer,1668,761,7.52,140880,284098,5122,TV,12,Finished Airing,Fall,2012,"['Lantis', 'Movic', 'Showgate', 'Cyclone Graphics']",['Sentai Filmworks'],['Actas'],N/A,"['Military', 'School']",N/A
11,Mushishi Zoku Shou,52,762,8.7,112150,283744,1503,TV,10,Finished Airing,Spring,2014,"['Aniplex', 'Kodansha', 'Delfi Sound']",['Aniplex of America'],['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
12,Okusama ga Seitokaichou!,6160,763,6.58,144508,283639,406,TV,12,Finished Airing,Summer,2015,"['DAX Production', 'Dream Creation', 'Studio CHANT', 'Crunchyroll SC Anime Fund']",['Media Blasters'],['Seven'],"['Comedy', 'Romance', 'Ecchi']",School,Shounen
13,Ajin Part 2,1406,764,7.59,164002,282973,500,TV,13,Finished Airing,Fall,2016,"['TOHO animation', 'King Records']",['Sentai Filmworks'],['Polygon Pictures'],"['Action', 'Horror', 'Mystery', 'Supernatural']",Gore,Seinen
14,Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,3568,765,7.11,164874,282770,327,Movie,1,Finished Airing,N/A,2018,"['Aniplex', 'Kodansha']",['add some'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
15,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,814,766,7.85,135907,282706,606,Movie,1,Finished Airing,N/A,2013,['Aniplex'],['Aniplex of America'],['A-1 Pictures'],"['Drama', 'Supernatural']",N/A,N/A
16,Little Busters!,1741,767,7.49,104936,282330,1863,TV,26,Finished Airing,Fall,2012,"['Warner Bros. Japan', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],"['Comedy', 'Drama', 'Supernatural']",School,N/A
17,Koi wa Ameagari no You ni,1736,768,7.49,114368,282092,1461,TV,12,Finished Airing,Winter,2018,"['Aniplex', 'Dentsu', 'Fuji TV', 'DMM pictures']",['Sentai Filmworks'],['Wit Studio'],"['Drama', 'Romance']",Workplace,Seinen
18,Naruto: Shippuuden Movie 1,2624,769,7.29,165047,281988,295,Movie,1,Finished Airing,N/A,2007,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
19,Xian Wang de Richang Shenghuo,2396,770,7.33,128769,281993,1921,ONA,15,Finished Airing,N/A,2020,['add some'],['bilibili'],['Haoliners Animation League'],"['Adventure', 'Comedy', 'Fantasy']","['Mythology', 'School']",N/A
20,Yuragi-sou no Yuuna-san,4071,771,7.01,118628,281807,750,TV,12,Finished Airing,Summer,2018,"['Aniplex', 'Shueisha', 'BS11']",['Aniplex of America'],['Xebec'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",Harem,Shounen
21,Sora no Otoshimono Forte,1861,772,7.46,163621,281621,887,TV,12,Finished Airing,Fall,2010,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Funimation'],['AIC ASTA'],"['Comedy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']",Harem,Shounen
22,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,3569,773,7.11,173585,281505,275,Movie,1,Finished Airing,N/A,2004,"['Aniplex', 'Bandai', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
23,Kanata no Astra,473,774,8.09,136120,281325,3004,TV,12,Finished Airing,Summer,2019,"['AT-X', 'Docomo Anime Store', 'Shueisha', 'Kadokawa Media House', 'Kadokawa']",['Funimation'],['Lerche'],"['Adventure', 'Award Winning', 'Mystery', 'Sci-Fi']","['Space', 'Survival']",Shounen
