,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,IDOLiSH7 Second Beat!,401,3848,8.15,9246,27804,365,TV,15,Finished Airing,Spring,2020,"['Bandai Visual', 'Lantis', 'Bandai Namco Games']",['add some'],['TROYCA'],N/A,"['Idols (Male)', 'Music']",N/A
1,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,402,2890,8.15,25523,48481,78,ONA,1,Finished Airing,N/A,2021,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],N/A,School,N/A
2,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",403,2582,8.15,29751,59835,178,OVA,1,Finished Airing,N/A,2016,['add some'],['add some'],['TMS Entertainment'],"['Comedy', 'Fantasy', 'Romance']",Mythology,Shoujo
3,Working!!! Lord of the Takanashi,404,1895,8.15,56408,98771,208,Special,1,Finished Airing,N/A,2016,['add some'],['Aniplex of America'],['A-1 Pictures'],"['Comedy', 'Romance']",Workplace,Seinen
4,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,405,419,8.15,241858,472056,6972,TV,13,Finished Airing,Summer,2022,"['Studio Hibari', 'Movic', 'AT-X', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Music Live']",['add some'],['Lerche'],"['Drama', 'Suspense']","['Psychological', 'School']",N/A
5,Lupin III: Part 5,406,3149,8.14,15421,41304,377,TV,24,Finished Airing,Spring,2018,"['Nippon Television Network', 'TMS Music']",['Discotek Media'],['Telecom Animation Film'],"['Action', 'Adventure', 'Comedy', 'Mystery']",Adult Cast,Seinen
6,Nisemonogatari,407,248,8.14,414915,702474,3839,TV,11,Finished Airing,Winter,2012,"['Aniplex', 'Kodansha', 'Rakuonsha']",['Aniplex of America'],['Shaft'],"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",N/A,N/A
7,Nodame Cantabile: Paris-hen,408,1638,8.14,73152,120561,282,TV,11,Finished Airing,Fall,2008,"['Dentsu', 'Genco', 'SKY Perfect Well Think', 'Kodansha', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['add some'],['J.C.Staff'],"['Comedy', 'Romance']","['Adult Cast', 'Music']",Josei
8,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,409,4932,8.14,6820,15800,22,OVA,1,Finished Airing,N/A,2022,['add some'],['Sentai Filmworks'],['SILVER LINK.'],N/A,"['CGDCT', 'Iyashikei']",Seinen
9,One Piece Film: Z,410,837,8.14,163615,257184,576,Movie,1,Finished Airing,N/A,2012,['Shueisha'],['Funimation'],['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
10,Seirei no Moribito,411,1038,8.14,74308,209010,2629,TV,26,Finished Airing,Spring,2007,"['Geneon Universal Entertainment', 'Dentsu', 'NHK Enterprises']","['VIZ Media', 'Media Blasters', 'Sentai Filmworks', 'Geneon Entertainment USA']",['Production I.G'],"['Action', 'Adventure', 'Fantasy']",N/A,N/A
11,Tensei shitara Slime Datta Ken,412,87,8.14,786278,1294792,26798,TV,24,Finished Airing,Fall,2018,"['Lantis', 'Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing']",['Funimation'],['8bit'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Mythology', 'Reincarnation']",N/A
12,Black Clover,413,66,8.14,754521,1499626,42150,TV,170,Finished Airing,Fall,2017,"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],"['Action', 'Comedy', 'Fantasy']",N/A,Shounen
13,Gankutsuou,414,910,8.14,71419,236796,3751,TV,24,Finished Airing,Fall,2004,"['GDH', 'TV Asahi', 'Media Factory', 'Sotsu Music Publishing']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",N/A,N/A
14,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,415,4231,8.14,11418,22785,41,Movie,4,Finished Airing,N/A,2019,['Shochiku'],['add some'],['Production I.G'],"['Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",N/A
15,Given Movie,416,1019,8.14,112433,212356,1511,Movie,1,Finished Airing,N/A,2020,['Blue Lynx'],['add some'],['Lerche'],"['Boys Love', 'Drama', 'Romance']",Music,N/A
16,Given: Uragawa no Sonzai,417,2255,8.14,29344,75007,707,OVA,1,Finished Airing,N/A,2021,['Blue Lynx'],['add some'],['Lerche'],"['Boys Love', 'Drama', 'Romance']","['Music', 'School']",N/A
17,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,418,1168,8.14,98877,182829,801,ONA,12,Finished Airing,N/A,2022,"['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",['add some'],['David Production'],"['Action', 'Adventure', 'Supernatural']",N/A,Shounen
18,Kaiba,419,1432,8.14,42165,143002,3467,TV,12,Finished Airing,Spring,2008,"['VAP', 'WOWOW']",['Discotek Media'],['Madhouse'],"['Adventure', 'Award Winning', 'Mystery', 'Romance', 'Sci-Fi']",N/A,N/A
19,Eizouken ni wa Te wo Dasu na!,420,690,8.13,128260,312277,3781,TV,12,Finished Airing,Winter,2020,"['Warner Bros. Japan', 'Warner Music Japan', 'Shogakukan', 'NHK Enterprises']",['Crunchyroll'],['Science SARU'],"['Adventure', 'Award Winning', 'Comedy']","['Otaku Culture', 'School']",Seinen
20,Haikyuu!! Movie 3: Sainou to Sense,421,2213,8.13,29560,77293,92,Movie,1,Finished Airing,N/A,2017,['add some'],['add some'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
21,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,422,2349,8.13,41678,69965,906,Music,1,Finished Airing,N/A,2003,['EMI'],['add some'],['Toei Animation'],"['Adventure', 'Drama', 'Sci-Fi']","['Adult Cast', 'Music']",N/A
22,Katekyo Hitman Reborn!,423,362,8.13,252881,538066,15723,TV,203,Finished Airing,Fall,2006,"['TV Tokyo', 'Dentsu', 'Marvelous', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],"['Action', 'Comedy']","['Organized Crime', 'Super Power']",Shounen
23,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,424,4215,8.13,10236,22974,191,Movie,1,Finished Airing,N/A,2012,['Good Smile Company'],['add some'],['Seven Arcs'],"['Action', 'Comedy', 'Drama', 'Sci-Fi']",Mahou Shoujo,N/A
24,Princess Tutu,425,1330,8.13,62511,159310,4706,TV,38,Finished Airing,Summer,2002,"['Memory-Tech', 'GANSIS', 'Marvelous AQL']","['ADV Films', 'Sentai Filmworks']",['Hal Film Maker'],"['Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance']","['Mahou Shoujo', 'Performing Arts']",N/A
25,Kono Subarashii Sekai ni Shukufuku wo!,426,39,8.12,1183029,1817305,42835,TV,10,Finished Airing,Winter,2016,"['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House', 'Kadokawa']","['Discotek Media', 'Crunchyroll']",['Studio Deen'],"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",N/A
