,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Shaman King,1019,601,7.75,189305,351949,3669,TV,64,Finished Airing,Summer,2001,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']","['4Kids Entertainment', 'Discotek Media']",['Xebec'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",Super Power,Shounen
1,Redline,264,602,8.28,190106,351128,5205,Movie,1,Finished Airing,N/A,2009,['Tohokushinsha Film Corporation'],['Anchor Bay Films'],['Madhouse'],"['Action', 'Sci-Fi']","['Adult Cast', 'Racing']",N/A
2,Seireitsukai no Blade Dance,5529,603,6.7,179913,350185,892,TV,12,Finished Airing,Summer,2014,"['Genco', 'Media Factory', 'Movic', 'AT-X', 'Showgate']",['Sentai Filmworks'],['TNK'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School']",N/A
3,Kaze no Tani no Nausicaä,201,604,8.36,219199,349988,4808,Movie,1,Finished Airing,N/A,1984,['add some'],"['Disney Platform Distribution', 'GKIDS']",['Topcraft'],"['Adventure', 'Award Winning', 'Fantasy']",N/A,N/A
4,Golden Kamuy,778,605,7.87,146106,349740,3816,TV,12,Finished Airing,Spring,2018,"['Magic Capsule', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Good Smile Company', 'Sammy', 'Shueisha', 'JR East Marketing & Communications', 'Twin Engine']",['Funimation'],['Geno Studio'],"['Action', 'Adventure']","['Adult Cast', 'Historical', 'Military']",Seinen
5,Tsuki ga Michibiku Isekai Douchuu,1091,606,7.72,182168,349333,3487,TV,12,Finished Airing,Summer,2021,"['Mainichi Broadcasting System', 'Nippon Television Network', 'Tokyo MX', 'Medicos Entertainment', 'Nichion', 'A-Sketch', 'DMM pictures', 'BS NTV', 'AQUA ARIS', 'NetEase', 'AlphaPolis']",['add some'],['C2C'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",Isekai,N/A
6,Renai Boukun,5924,607,6.63,174663,348668,624,TV,12,Finished Airing,Spring,2017,"['TV Tokyo', 'Sotsu', 'Half H.P Studio', 'KlockWorx', 'DIVE II Entertainment', 'Avex Pictures', 'bilibili', 'Crunchyroll']",['Funimation'],['EMT Squared'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'School']",N/A
7,Bocchi the Rock!,21,608,8.91,193299,347339,16851,TV,12,Finished Airing,Fall,2022,"['Aniplex', 'Houbunsha']",['add some'],['CloverWorks'],N/A,"['CGDCT', 'Music']",N/A
8,Blood-C,6486,609,6.53,150619,347175,1071,TV,12,Finished Airing,Summer,2011,"['Aniplex', 'Mainichi Broadcasting System', 'Dwango']",['Funimation'],['Production I.G'],"['Action', 'Horror', 'Mystery', 'Supernatural']","['Gore', 'School', 'Vampire']",N/A
9,Ore dake Haireru Kakushi Dungeon,7857,610,6.3,179229,346783,1681,TV,12,Finished Airing,Winter,2021,"['Mainichi Broadcasting System', 'Kodansha', 'Crunchyroll', 'DMM pictures', 'DMM Music']",['add some'],['Okuruto Noboru'],"['Action', 'Adventure', 'Fantasy', 'Ecchi']",Harem,N/A
