,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Boku no Hero Academia the Movie 1: Futari no Hero,1501,251,7.56,430331,698373,1372,Movie,1,Finished Airing,N/A,2018,"['TOHO animation', 'Shueisha', 'Toho Music']",['Funimation'],['Bones'],N/A,Super Power,Shounen
1,Serial Experiments Lain,482,252,8.08,270145,697557,24738,TV,13,Finished Airing,Summer,1998,"['TV Tokyo', 'Geneon Universal Entertainment', 'Genco', 'Pioneer LDC', 'TV Tokyo Music', 'Fujipacific Music']","['Funimation', 'Geneon Entertainment USA']",['Triangle Staff'],"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural']",Psychological,N/A
2,Sword Art Online: Alicization - War of Underworld,1464,253,7.58,414144,697028,3502,TV,12,Finished Airing,Fall,2019,"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa', 'Sonilude']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",Video Game,N/A
3,Spy x Family Part 2,205,254,8.35,310009,695511,6510,TV,13,Finished Airing,Fall,2022,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']",['add some'],"['Wit Studio', 'CloverWorks']","['Action', 'Comedy']",Childcare,Shounen
4,NHK ni Youkoso!,237,255,8.31,315914,694110,24970,TV,24,Finished Airing,Summer,2006,"['NHK', 'Victor Entertainment']","['ADV Films', 'Funimation']",['Gonzo'],"['Comedy', 'Drama', 'Romance']","['Otaku Culture', 'Psychological']",N/A
5,Wonder Egg Priority,1262,256,7.65,308541,692720,8650,TV,12,Finished Airing,Winter,2021,"['Aniplex', 'D.N. Dream Partners']",['Funimation'],['CloverWorks'],"['Drama', 'Fantasy']",Psychological,N/A
6,Hai to Gensou no Grimgar,1273,257,7.65,358353,691901,5894,TV,12,Finished Airing,Winter,2016,['TOHO animation'],['Funimation'],['A-1 Pictures'],"['Action', 'Adventure', 'Drama', 'Fantasy']",Isekai,N/A
7,Domestic na Kanojo,5613,258,6.68,416974,691895,5528,TV,12,Finished Airing,Winter,2019,"['Mainichi Broadcasting System', 'Kodansha', 'flying DOG', 'DMM pictures', 'Bit Promotion']",['Sentai Filmworks'],['Diomedéa'],"['Drama', 'Romance']","['Love Polygon', 'School']",Shounen
8,Enen no Shouboutai: Ni no Shou,891,259,7.81,359864,691531,2651,TV,24,Finished Airing,Summer,2020,"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",['Funimation'],['David Production'],"['Action', 'Supernatural']",N/A,Shounen
9,Accel World,2905,260,7.23,376637,691074,3866,TV,24,Finished Airing,Spring,2012,"['Genco', 'Rakuonsha', 'Warner Bros. Japan', 'flying DOG', 'ASCII Media Works']",['VIZ Media'],['Sunrise'],"['Action', 'Romance', 'Sci-Fi']","['School', 'Video Game']",N/A
10,Sword Art Online Movie: Ordinal Scale,1476,261,7.57,427014,687083,3395,Movie,1,Finished Airing,N/A,2017,"['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Entertainment', 'Egg Firm']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",Video Game,N/A
