,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Working'!!,872,851,7.82,147220,255271,452,TV,13,Finished Airing,Fall,2011,"['Aniplex', 'Yomiuri Telecasting', 'Rakuonsha']","['NIS America, Inc.']",['A-1 Pictures'],N/A,"['Romantic Subtext', 'Workplace']",Seinen
1,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",3348,852,7.15,24759,254883,3646,TV,Unknown,Currently Airing,Winter,2023,"['Aniplex', 'Movic', 'AT-X', 'Tokyo MX', 'Q-Tec', 'Docomo Anime Store', 'Medicos Entertainment', 'BS11', 'Yomiuri TV Enterprise', 'Contents Seed', 'Kadokawa', 'ADK Marketing Solutions']",['Aniplex of America'],['SILVER LINK.'],"['Action', 'Fantasy']","['Mythology', 'Reincarnation', 'School']",N/A
2,Flying Witch,1703,853,7.51,102738,254824,1282,TV,12,Finished Airing,Spring,2016,"['VAP', 'Kodansha', 'Magic Capsule', 'Nippon Television Network', 'RAB Aomori Broadcasting', 'Nippon Television Music']",['Sentai Filmworks'],['J.C.Staff'],"['Slice of Life', 'Supernatural']",Iyashikei,Shounen
3,Persona 4 the Animation,1730,854,7.5,124685,254257,2212,TV,25,Finished Airing,Fall,2011,"['Aniplex', 'AIC', 'Mainichi Broadcasting System', 'ASCII Media Works', 'Index']",['Sentai Filmworks'],['AIC ASTA'],"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Supernatural']","['School', 'Super Power']",N/A
4,Full Metal Panic! The Second Raid,674,855,7.93,144800,253140,1259,TV,13,Finished Airing,Summer,2005,"['WOWOW', 'Kadokawa Shoten', 'KlockWorx', 'Happinet Pictures']","['ADV Films', 'Funimation', 'Kadokawa Pictures USA']",['Kyoto Animation'],N/A,"['Mecha', 'Military']",N/A
5,Youjo Senki Movie,304,856,8.24,132920,252774,989,Movie,1,Finished Airing,N/A,2019,"['AT-X', 'Sony Music Communications', 'Kadokawa', 'Kadokawa Animation']",['add some'],['Nut'],"['Action', 'Fantasy']","['Isekai', 'Military', 'Reincarnation']",N/A
6,Hataraku Saibou!!,2306,857,7.35,85392,252642,560,TV,8,Finished Airing,Winter,2021,"['Aniplex', 'Kodansha', 'Magic Capsule']",['Aniplex of America'],['David Production'],N/A,"['Anthropomorphic', 'Educational', 'Medical']",Shounen
7,"Yuusha, Yamemasu",3921,858,7.04,113018,252506,1609,TV,12,Finished Airing,Spring,2022,"['AT-X', 'flying DOG', 'Glovision', 'Kadokawa', 'Tencent Games']",['Sentai Filmworks'],['EMT Squared'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",N/A,N/A
8,Neko no Ongaeshi,1070,859,7.73,158849,252324,1368,Movie,1,Finished Airing,N/A,2002,['add some'],"['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],"['Adventure', 'Award Winning', 'Drama', 'Fantasy']",Anthropomorphic,N/A
9,Naruto: Shippuuden Movie 2 - Kizuna,2652,860,7.28,144825,252177,235,Movie,1,Finished Airing,N/A,2008,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Toho', 'Studio Jack']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
