,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Bakuman. 2nd Season,201,624,8.35,204492,339866,1361,TV,25,Finished Airing,Fall,2011,"['NHK', 'Shueisha']",['Media Blasters'],['J.C.Staff'],"['Comedy', 'Drama', 'Romance']",Otaku Culture,Shounen
1,Gintama: Shiroyasha Koutan,202,2430,8.35,32623,66331,87,Special,1,Finished Airing,N/A,2008,['add some'],['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Parody']",N/A
2,K-On! Movie,203,692,8.35,183012,311060,2614,Movie,1,Finished Airing,N/A,2011,"['Pony Canyon', 'Animation Do']",['Sentai Filmworks'],['Kyoto Animation'],"['Award Winning', 'Comedy']","['CGDCT', 'Music']",N/A
3,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,204,135,8.35,580680,1013084,11148,TV,13,Finished Airing,Summer,2020,"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']",['add some'],['White Fox'],"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",N/A
4,Spy x Family Part 2,205,260,8.35,302052,686701,6451,TV,13,Finished Airing,Fall,2022,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']",['add some'],"['Wit Studio', 'CloverWorks']","['Action', 'Comedy']",Childcare,Shounen
5,Kiseijuu: Sei no Kakuritsu,206,42,8.34,1080183,1743917,33005,TV,24,Finished Airing,Fall,2014,"['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications']",['Sentai Filmworks'],['Madhouse'],"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Psychological']",Seinen
6,Neon Genesis Evangelion,207,46,8.34,998097,1675400,98302,TV,26,Finished Airing,Fall,1995,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['ADV Films', 'GKIDS']","['Gainax', 'Tatsunoko Production']","['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']",N/A
7,Psycho-Pass,208,59,8.34,745219,1541765,37263,TV,22,Finished Airing,Fall,2012,"['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Funimation'],['Production I.G'],"['Action', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",N/A
8,Major S6,209,2569,8.33,35305,60164,472,TV,25,Finished Airing,Spring,2010,"['Shogakukan-Shueisha Productions', 'NHK']",['add some'],['SynergySP'],N/A,Team Sports,Shounen
9,Natsume Yuujinchou: Itsuka Yuki no Hi ni,210,2235,8.33,34093,76205,104,OVA,1,Finished Airing,N/A,2014,"['Aniplex', 'Nihon Ad Systems']",['add some'],"[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
10,One Outs,211,952,8.33,110051,225417,3884,TV,25,Finished Airing,Fall,2008,"['VAP', 'Nippon Television Network', 'D.N. Dream Partners']",['add some'],['Madhouse'],N/A,"['Adult Cast', 'Psychological', 'Team Sports']",Seinen
11,Tensei shitara Slime Datta Ken 2nd Season Part 2,212,281,8.33,362832,647233,10253,TV,12,Finished Airing,Summer,2021,"['Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing', 'Bandai Spirits', 'Sony Music Solutions', 'ADK Marketing Solutions']",['add some'],['8bit'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Mythology', 'Reincarnation']",N/A
12,Bakemonogatari,213,83,8.33,700302,1336026,47602,TV,15,Finished Airing,Summer,2009,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],"['Mystery', 'Romance', 'Supernatural']",Vampire,N/A
13,Dr. Stone: Ryuusui,214,1228,8.33,77574,174492,615,Special,1,Finished Airing,N/A,2022,"['TOHO animation', 'Shueisha']",['Crunchyroll'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']",Time Travel,Shounen
14,Given,215,379,8.33,283375,519301,16200,TV,11,Finished Airing,Summer,2019,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shinshokan']",['add some'],['Lerche'],"['Boys Love', 'Drama', 'Romance']","['Music', 'School']",N/A
15,Gotcha!,216,3853,8.33,18564,27754,221,Music,1,Finished Airing,N/A,2020,['add some'],['add some'],['Bones'],N/A,Music,N/A
16,IDOLiSH7 Third Beat! Part 2,217,5847,8.33,1854,10273,158,TV,17,Finished Airing,Fall,2022,['add some'],['add some'],['TROYCA'],N/A,"['Idols (Male)', 'Music']",N/A
17,Kidou Senshi Gundam: The Origin,218,2398,8.33,27477,67771,810,OVA,6,Finished Airing,N/A,2015,['Sotsu'],['NYAV Post'],['Sunrise'],"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Space']",Shounen
18,Kingdom 2nd Season,219,1699,8.33,55722,114927,816,TV,39,Finished Airing,Summer,2013,"['NHK', 'NHK Enterprises']",['Funimation'],['Pierrot'],N/A,"['Historical', 'Military']",Seinen
19,Uchuu Senkan Yamato 2199,220,1768,8.33,36900,109716,1703,OVA,26,Finished Airing,N/A,2012,"['Production I.G', 'Bandai Visual', 'OLM', 'Lantis', 'Shochiku', 'Bandai', 'Tohokushinsha Film Corporation', 'Bandai Namco Games', 'Voyager Entertainment']",['Funimation'],"['Xebec', 'AIC']","['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",N/A
20,Versailles no Bara,221,2016,8.33,27574,90088,2777,TV,40,Finished Airing,Fall,1979,['Nippon Television Network'],"['Nozomi Entertainment', 'Discotek Media']",['Tokyo Movie Shinsha'],"['Drama', 'Romance']","['Historical', 'Military']",Shoujo
21,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",222,715,8.33,179739,301195,813,Special,1,Finished Airing,N/A,2018,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",['add some'],['Kyoto Animation'],"['Drama', 'Fantasy']",N/A,N/A
22,Kobayashi-san Chi no Maid Dragon S,223,394,8.32,240897,502951,5684,TV,12,Finished Airing,Summer,2021,"['Lantis', 'ABC Animation', 'Heart Company']",['add some'],['Kyoto Animation'],"['Fantasy', 'Slice of Life']",N/A,N/A
23,Natsume Yuujinchou Go Specials,224,3093,8.32,19321,42568,54,Special,2,Finished Airing,N/A,2017,['add some'],['add some'],['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
24,Ookami to Koushinryou II,225,427,8.32,262789,468327,4189,TV,12,Finished Airing,Summer,2009,"['Imagin', 'flying DOG']",['Funimation'],"[""Brain's Base"", 'Marvy Jack']","['Adventure', 'Fantasy', 'Romance']",Adult Cast,N/A
25,Romeo no Aoi Sora,226,2930,8.32,16406,46971,612,TV,33,Finished Airing,Winter,1995,['add some'],['add some'],['Nippon Animation'],"['Adventure', 'Drama', 'Slice of Life']",Historical,N/A
26,The First Slam Dunk,227,5004,8.32,871,15184,102,Movie,1,Finished Airing,N/A,2022,['add some'],['add some'],"['Toei Animation', 'DandeLion Animation Studio']",N/A,"['School', 'Team Sports']",Shounen
27,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,228,63,8.32,938551,1529971,32025,TV,11,Finished Airing,Spring,2011,"['Aniplex', 'Dentsu', 'Fuji TV', 'Fujipacific Music']","['NIS America, Inc.', 'Aniplex of America']",['A-1 Pictures'],"['Drama', 'Supernatural']",N/A,N/A
28,Fate/stay night: Unlimited Blade Works 2nd Season,229,194,8.32,532734,806254,8969,TV,13,Finished Airing,Spring,2015,"['Aniplex', 'Notes']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Supernatural']",N/A,N/A
29,Initial D First Stage,230,619,8.32,171450,341175,10721,TV,26,Finished Airing,Spring,1998,"['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']","['Gallop', 'Studio Comet']","['Action', 'Drama']",Racing,Seinen
30,Katanagatari,231,363,8.32,205986,537867,10607,TV,12,Finished Airing,Winter,2010,"['Aniplex', 'Lantis', 'Kodansha', 'Movic', 'Fuji TV']","['NIS America, Inc.']",['White Fox'],"['Action', 'Adventure', 'Romance']","['Historical', 'Martial Arts']",N/A
31,Kawaki wo Ameku,232,3887,8.32,17423,27364,194,Music,1,Finished Airing,N/A,2019,['add some'],['add some'],['add some'],N/A,Music,N/A
32,Kemono no Souja Erin,233,2122,8.32,20279,82278,1478,TV,50,Finished Airing,Winter,2009,['NHK'],['add some'],"['Production I.G', 'Trans Arts']","['Drama', 'Fantasy']",N/A,N/A
33,Boku dake ga Inai Machi,234,30,8.31,1273283,1950562,45904,TV,12,Finished Airing,Winter,2016,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one']",['Aniplex of America'],['A-1 Pictures'],"['Mystery', 'Supernatural', 'Suspense']","['Psychological', 'Time Travel']",Seinen
