,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,901,2515,7.81,18647,62705,78,Movie,1,Finished Airing,N/A,2018,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Drama']","['Gore', 'Survival']",Shounen
1,Shingeki no Kyojin: Lost Girls,902,759,7.81,144154,284314,531,OVA,3,Finished Airing,N/A,2017,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise']",['add some'],['Wit Studio'],"['Action', 'Drama']",N/A,N/A
2,Slayers Try,903,2749,7.81,28830,52938,219,TV,26,Finished Airing,Spring,1997,['SoftX'],"['Funimation', 'Central Park Media']",['E&G Films'],"['Adventure', 'Comedy', 'Fantasy']",Mythology,N/A
3,Tamayura: Sotsugyou Shashin Part 3 - Akogare,904,6110,7.81,2947,9270,12,Movie,1,Finished Airing,N/A,2015,"['Shochiku', 'flying DOG']",['add some'],['TYO Animations'],"['Comedy', 'Drama', 'Slice of Life']","['CGDCT', 'Iyashikei']",N/A
4,Tensei Oujo to Tensai Reijou no Mahou Kakumei,905,1776,7.81,19629,108925,699,TV,12,Currently Airing,Winter,2023,"['AT-X', 'Kansai Telecasting', 'Kadokawa', 'Bit grooove promotion', 'CTW', 'TVA advance ']","['Crunchyroll', 'Muse Communication']",['Diomedéa'],"['Fantasy', 'Girls Love']","['Isekai', 'Reincarnation']",N/A
5,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,906,3280,7.8,14204,38225,33,Movie,1,Finished Airing,N/A,2016,['add some'],['add some'],['Production I.G'],"['Comedy', 'Sports']",Team Sports,Shounen
6,Last Exile,907,1270,7.8,69312,168182,1797,TV,26,Finished Airing,Spring,2003,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],"['Action', 'Adventure', 'Sci-Fi']",N/A,N/A
7,Let You Down,908,6912,7.8,4513,6797,21,Music,1,Finished Airing,N/A,2022,['CD Projekt Red'],['add some'],['Studio Massket'],"['Action', 'Sci-Fi']",N/A,N/A
8,Little Witch Academia,909,712,7.8,170247,302068,1307,Movie,1,Finished Airing,N/A,2013,"['Half H.P Studio', 'Ultra Super Pictures']",['add some'],['Trigger'],"['Adventure', 'Comedy', 'Fantasy']",School,N/A
9,Lucky☆Star: Original na Visual to Animation,910,1550,7.8,75340,128544,203,OVA,1,Finished Airing,N/A,2008,"['Kadokawa Shoten', 'Movic', 'KlockWorx']","['Funimation', 'Bandai Entertainment']",['Kyoto Animation'],N/A,"['CGDCT', 'School']",N/A
