,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kuuchuu Buranko,701,2029,7.92,24220,89330,1233,TV,11,Finished Airing,Fall,2009,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Bungeishunjuu']",['add some'],['Toei Animation'],N/A,"['Medical', 'Psychological']",N/A
1,Love Live! The School Idol Movie,702,1587,7.92,70979,125207,1189,Movie,1,Finished Airing,N/A,2015,"['Bandai Visual', 'Lantis', 'ASCII Media Works', 'Bushiroad', 'Graphinica', 'ILCA']","['NIS America, Inc.']",['Sunrise'],"['Award Winning', 'Slice of Life']","['Idols (Female)', 'Music', 'School']",N/A
2,Overlord,703,68,7.92,880216,1476200,24608,TV,13,Finished Airing,Summer,2015,"['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa']",['Funimation'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",Isekai,N/A
3,Overlord III,704,187,7.92,515874,831340,5203,TV,13,Finished Airing,Summer,2018,"['AT-X', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['Funimation'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",Isekai,N/A
4,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,705,4377,7.92,10890,21041,17,OVA,1,Finished Airing,N/A,2013,['Shueisha'],['add some'],['Tatsunoko Production'],N/A,School,Shounen
5,Tamako Love Story,706,584,7.92,166022,360300,2127,Movie,1,Finished Airing,N/A,2014,"['Pony Canyon', 'TBS']",['Sentai Filmworks'],['Kyoto Animation'],"['Award Winning', 'Romance', 'Slice of Life']",N/A,N/A
6,Ore Monogatari!!,707,293,7.91,303536,632124,4819,TV,24,Finished Airing,Spring,2015,"['VAP', 'Nippon Television Network', 'Shueisha']",['Sentai Filmworks'],['Madhouse'],"['Comedy', 'Romance']",N/A,Shoujo
7,Plastic Memories,708,165,7.91,445726,886727,11324,TV,13,Finished Airing,Spring,2015,"['Aniplex', 'Movic', 'AT-X', 'ASCII Media Works', 'Bushiroad', 'MAGES.', 'Asahi Broadcasting', 'BS11']",['Aniplex of America'],['Doga Kobo'],"['Drama', 'Romance', 'Sci-Fi']",N/A,N/A
8,Vampire Hunter D (2000),709,1247,7.91,86558,171884,1984,Movie,1,Finished Airing,N/A,2000,"['animate Film', 'Movic']","['Discotek Media', 'Urban Vision']",['Madhouse'],"['Action', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi']",Vampire,N/A
9,Vanitas no Karte,710,432,7.91,183360,461870,6528,TV,12,Finished Airing,Summer,2021,"['Aniplex', 'Square Enix', 'Hakuhodo DY Music & Pictures', 'Contents Seed']",['Funimation'],['Bones'],N/A,"['Historical', 'Vampire']",Shounen
10,Bleach,711,40,7.91,1043314,1812339,66956,TV,366,Finished Airing,Fall,2004,"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
11,Code Geass: Fukkatsu no Lelouch,712,732,7.91,129666,295001,1937,Movie,1,Finished Airing,N/A,2019,['Showgate'],['Funimation'],['Sunrise'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",N/A
12,Detective Conan OVA 09: The Stranger in 10 Years...,713,4458,7.91,10615,20251,14,OVA,1,Finished Airing,N/A,2009,['add some'],['add some'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Mystery']",Detective,Shounen
13,Final Fantasy VII: Advent Children Complete,714,1552,7.91,80559,128222,755,OVA,1,Finished Airing,N/A,2009,['Square Enix'],['add some'],['Square Enix Visual Works'],"['Action', 'Fantasy']",Super Power,N/A
14,Hanasaku Iroha,715,668,7.91,124582,318154,2527,TV,26,Finished Airing,Spring,2011,"['Bandai Visual', 'Sotsu', 'Yomiuri Telecasting', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']","['NIS America, Inc.']",['P.A. Works'],N/A,Workplace,N/A
15,Kaleido Star,716,2130,7.91,34302,81756,1262,TV,51,Finished Airing,Spring,2003,"['Production I.G', 'TV Tokyo', 'Hal Film Maker', 'HoriPro', 'MediaNet']","['ADV Films', 'Funimation']",['Gonzo'],"['Comedy', 'Drama', 'Fantasy']",Performing Arts,N/A
16,Boku no Hero Academia,717,6,7.9,1934636,2818456,52847,TV,13,Finished Airing,Spring,2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],N/A,"['School', 'Super Power']",Shounen
17,Cike Wu Liuqi,718,2095,7.9,42263,84967,1172,ONA,10,Finished Airing,N/A,2018,['Sharefun Studio'],['add some'],['AHA Entertainment'],"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance']","['Martial Arts', 'Super Power']",N/A
18,Date A Live II: Kurumi Star Festival,719,1226,7.9,106282,174875,1027,OVA,1,Finished Airing,N/A,2014,['add some'],['Funimation'],['Production IMS'],N/A,N/A,N/A
