,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Mushishi Zoku Shou: Odoro no Michi,151,1947,8.44,46631,95249,116,Special,1,Finished Airing,N/A,2014,"['Aniplex', 'Kodansha', 'Delfi Sound']",['Aniplex of America'],['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
1,Saenai Heroine no Sodatekata Fine,152,1275,8.44,72954,167586,2343,Movie,1,Finished Airing,N/A,2019,['Aniplex'],['add some'],['CloverWorks'],"['Comedy', 'Romance']","['Harem', 'Otaku Culture', 'School']",N/A
2,Tian Guan Ci Fu Special,153,3328,8.44,18907,37266,378,ONA,1,Finished Airing,N/A,2021,['bilibili'],['add some'],['Haoliners Animation League'],"['Drama', 'Supernatural']",Historical,N/A
3,Kono Oto Tomare! Part 2,154,1340,8.43,83456,157723,1602,TV,13,Finished Airing,Fall,2019,"['WOWOW', 'Movic', 'KlockWorx', 'Memory-Tech', 'King Records', 'Shueisha', 'Pony Canyon Enterprise']",['Funimation'],['Platinum Vision'],"['Drama', 'Romance']","['Music', 'Performing Arts', 'School']",Shounen
4,Koukaku Kidoutai: Stand Alone Complex,155,537,8.43,158606,379645,8322,TV,26,Finished Airing,Fall,2002,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Animax', 'Kodansha', 'Trilogy Future Studio', 'Tokuma Shoten', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",Seinen
5,Mo Dao Zu Shi: Xian Yun Pian,156,1952,8.43,43177,94902,1133,ONA,8,Finished Airing,N/A,2019,['Tencent Penguin Pictures'],['add some'],['B.CMAY PICTURES'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']","['Historical', 'Mythology', 'Reincarnation']",N/A
6,Mononoke,157,723,8.43,84089,298854,7503,TV,12,Finished Airing,Summer,2007,"['Dentsu', 'SKY Perfect Well Think', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']","['Discotek Media', 'Flatiron Film Company']",['Toei Animation'],"['Fantasy', 'Horror', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Mythology', 'Psychological']",N/A
7,Saiki Kusuo no Ψ-nan 2,158,329,8.43,350939,588113,3985,TV,24,Finished Airing,Winter,2018,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Bandai Namco Entertainment', 'Shueisha', ""Toy's Factory"", 'Dear Stage inc.']",['add some'],"['J.C.Staff', 'Egg Firm']","['Comedy', 'Supernatural']","['Gag Humor', 'School', 'Super Power']",Shounen
8,Gintama: Yorinuki Gintama-san on Theater 2D,159,3135,8.43,15842,41734,43,Movie,2,Finished Airing,N/A,2012,['add some'],['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
9,Grand Blue,160,244,8.43,379424,708339,17878,TV,12,Finished Airing,Summer,2018,"['Mainichi Broadcasting System', 'Kodansha', 'NBCUniversal Entertainment Japan', 'Avex Pictures', 'Q-Tec', 'JR East Marketing & Communications', 'GYAO!']",['add some'],['Zero-G'],N/A,Adult Cast,Seinen
