,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Mairimashita! Iruma-kun 2nd Season,501,788,8.07,132346,276396,2261,TV,21,Finished Airing,Spring,2021,"['NHK', 'NHK Enterprises']",['add some'],['Bandai Namco Pictures'],"['Comedy', 'Fantasy']","['Isekai', 'Mythology', 'School']",Shounen
1,Tsuki ga Kirei,502,388,8.07,238298,508130,7603,TV,12,Finished Airing,Spring,2017,"['Sotsu', 'Mainichi Broadcasting System', 'flying DOG']","['Funimation', 'Crunchyroll']",['feel.'],N/A,School,N/A
2,World Trigger 2nd Season,503,1499,8.07,49653,134751,751,TV,12,Finished Airing,Winter,2021,['TV Asahi'],['add some'],['Toei Animation'],"['Action', 'Sci-Fi', 'Supernatural']",School,Shounen
3,Yowamushi Pedal: Grande Road,504,1511,8.07,75217,132961,495,TV,24,Finished Airing,Fall,2014,"['TV Tokyo', 'MediaNet', 'TOHO animation', 'Akita Shoten']",['Discotek Media'],['TMS Entertainment'],N/A,Racing,Shounen
4,Yuusha-Ou GaoGaiGar Final,505,6042,8.07,3990,9522,169,OVA,8,Finished Airing,N/A,2000,['add some'],['Discotek Media'],['Sunrise'],"['Adventure', 'Drama', 'Sci-Fi']",Mecha,N/A
5,City Hunter 2,506,4064,8.06,10407,24950,153,TV,63,Finished Airing,Spring,1988,['add some'],"['ADV Films', 'Discotek Media']",['Sunrise'],"['Action', 'Comedy', 'Mystery']",N/A,Shounen
6,Dorohedoro,507,402,8.06,248110,489742,7746,TV,12,Finished Airing,Winter,2020,"['Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'BS11', 'Shogakukan', 'Sumitomo', 'RAY', 'Pia']",['add some'],['MAPPA'],"['Action', 'Comedy', 'Fantasy', 'Horror']",Gore,Seinen
7,Durarara!!x2 Ketsu,508,578,8.06,178602,362184,1062,TV,12,Finished Airing,Winter,2016,['Aniplex'],['Aniplex of America'],['Shuka'],"['Action', 'Mystery', 'Supernatural']",N/A,N/A
8,Girls & Panzer: Saishuushou Part 2,509,3607,8.06,14672,31662,86,Movie,1,Finished Airing,N/A,2019,['add some'],['Sentai Filmworks'],['Actas'],N/A,"['Military', 'School']",N/A
9,Gosick,510,381,8.06,220727,517605,8004,TV,24,Finished Airing,Winter,2011,"['TV Tokyo', 'Kadokawa Shoten', 'KlockWorx', 'Memory-Tech', 'NTT Docomo']",['Funimation'],['Bones'],"['Drama', 'Mystery', 'Romance']",Historical,N/A
10,Hidamari Sketch: Sae Hiro Sotsugyou-hen,511,5302,8.06,5795,13147,26,OVA,2,Finished Airing,N/A,2013,"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha']",['Sentai Filmworks'],['Shaft'],"['Comedy', 'Slice of Life']","['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",N/A
