,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kara no Kyoukai Movie 1: Fukan Fuukei,1452,501,7.58,177488,406167,2318,Movie,1,Finished Airing,N/A,2007,"['Aniplex', 'Kodansha', 'Notes']",['Aniplex of America'],['ufotable'],"['Action', 'Mystery', 'Supernatural', 'Suspense']",N/A,N/A
1,Non Non Biyori,655,502,7.94,166673,406007,6078,TV,12,Finished Airing,Fall,2013,"['TV Tokyo', 'Lantis', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Sony Music Communications']",['Sentai Filmworks'],['SILVER LINK.'],N/A,"['CGDCT', 'Iyashikei', 'School']",Seinen
2,Hagure Yuusha no Aesthetica,5250,503,6.75,211153,404914,1150,TV,12,Finished Airing,Summer,2012,"['Genco', 'Lantis', 'Media Factory', 'AT-X', 'Showgate']",['Funimation'],['Arms'],"['Action', 'Fantasy', 'Ecchi']","['Isekai', 'Super Power']",N/A
3,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,74,504,8.63,213651,405017,3221,Movie,1,Finished Airing,N/A,2020,['IRMA LA DOUCE'],['Sentai Filmworks'],['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Gore', 'Survival']",N/A
4,86 Part 2,49,505,8.71,217178,404741,12082,TV,12,Finished Airing,Fall,2021,"['Aniplex', 'Kadokawa', 'Bandai Spirits']",['add some'],['A-1 Pictures'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",N/A
5,Inou-Battle wa Nichijou-kei no Naka de,3753,506,7.07,189792,404132,894,TV,12,Finished Airing,Fall,2014,"['TV Tokyo', 'Sotsu', 'Half H.P Studio', 'Ultra Super Pictures', 'DIVE II Entertainment', 'Avex Pictures']",['Sentai Filmworks'],['Trigger'],"['Comedy', 'Supernatural']","['Harem', 'School']",N/A
6,Beastars 2nd Season,888,507,7.81,202521,403765,2144,TV,12,Finished Airing,Winter,2021,"['Movic', 'Fuji TV', 'Bandai', 'BS Fuji', 'TOHO animation', 'Q-Tec', 'Akita Shoten', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music']",['add some'],['Orange'],"['Drama', 'Slice of Life']","['Anthropomorphic', 'Psychological', 'School']",Shounen
7,Rosario to Vampire Capu2,4521,508,6.9,247898,403336,1094,TV,13,Finished Airing,Fall,2008,"['GDH', 'Yomiko Advertising', 'Happinet Pictures', 'Shueisha', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School', 'Vampire']",Shounen
8,Zero no Tsukaima F,1962,509,7.44,233166,402307,1170,TV,12,Finished Airing,Winter,2012,"['Cospa', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],"['Adventure', 'Fantasy', 'Romance', 'Ecchi']",Isekai,N/A
9,"Dakara Boku wa, H ga Dekinai.",6270,510,6.56,206048,401842,864,TV,12,Finished Airing,Summer,2012,"['Geneon Universal Entertainment', 'Sotsu', 'Lantis', 'AT-X', 'KlockWorx', 'Fujimi Shobo']",['Sentai Filmworks'],['feel.'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",N/A,N/A
