,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Sword Art Online: Alicization - War of Underworld 2nd Season,1842,351,7.47,319434,556682,3060,TV,11,Finished Airing,Summer,2020,"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",Video Game,N/A
1,Lovely★Complex,532,352,8.03,277097,555365,9623,TV,24,Finished Airing,Spring,2007,"['TBS', 'TAP', 'Sony Music Entertainment', 'Shueisha', 'Nichion']",['Discotek Media'],['Toei Animation'],"['Comedy', 'Romance']",School,Shoujo
2,Karakai Jouzu no Takagi-san,1142,353,7.71,276554,555152,4987,TV,12,Finished Airing,Winter,2018,"['TMS Entertainment', 'Asatsu DK', 'Asmik Ace', 'TOHO animation', 'JR East Marketing & Communications']",['Funimation'],['Shin-Ei Animation'],N/A,"['Iyashikei', 'Romantic Subtext', 'School']",Shounen
3,Hunter x Hunter,168,354,8.41,270492,554790,10295,TV,62,Finished Airing,Fall,1999,['Fuji TV'],['VIZ Media'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
4,Kiss x Sis (TV),5958,355,6.62,327174,553802,1766,TV,12,Finished Airing,Spring,2010,"['Starchild Records', 'GANSIS']",['add some'],['feel.'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",Seinen
5,Gangsta.,2054,356,7.41,266732,547993,3564,TV,12,Finished Airing,Summer,2015,"['Bandai Visual', 'Frontier Works', 'Lantis', 'DAX Production', 'Tokyo MX']",['Funimation'],['Manglobe'],"['Action', 'Drama']","['Adult Cast', 'Organized Crime']",Seinen
6,Higashi no Eden,999,357,7.76,248852,544296,4146,TV,11,Finished Airing,Spring,2009,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['Funimation'],['Production I.G'],"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",N/A,N/A
7,Ousama Ranking,96,358,8.56,277750,541836,11539,TV,23,Finished Airing,Fall,2021,"['Aniplex', 'Dentsu', 'Fuji TV', 'Kadokawa', 'Bandai Spirits']",['Funimation'],['Wit Studio'],"['Adventure', 'Fantasy']",N/A,N/A
8,Kuroshitsuji II,3339,359,7.15,308056,541160,3115,TV,12,Finished Airing,Summer,2010,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System']",['Funimation'],['A-1 Pictures'],"['Action', 'Comedy', 'Supernatural']","['Historical', 'Mythology']",Shounen
9,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,1853,360,7.46,274276,540200,1833,TV,12,Finished Airing,Fall,2020,"['Movic', 'Warner Bros. Japan', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE', 'SB Creative']",['Sentai Filmworks'],['J.C.Staff'],"['Action', 'Adventure', 'Fantasy']",N/A,N/A
10,Jibaku Shounen Hanako-kun,828,361,7.85,263073,539607,11171,TV,12,Finished Airing,Winter,2020,"['Square Enix', 'Studio Hibari', 'Pony Canyon', 'TBS', 'Half H.P Studio', 'Contents Seed']",['Funimation'],['Lerche'],N/A,"['Mythology', 'School']",Shounen
11,Katekyo Hitman Reborn!,425,362,8.13,253068,538592,15728,TV,203,Finished Airing,Fall,2006,"['TV Tokyo', 'Dentsu', 'Marvelous', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],"['Action', 'Comedy']","['Organized Crime', 'Super Power']",Shounen
12,Katanagatari,229,363,8.32,206203,538527,10619,TV,12,Finished Airing,Winter,2010,"['Aniplex', 'Lantis', 'Kodansha', 'Movic', 'Fuji TV']","['NIS America, Inc.']",['White Fox'],"['Action', 'Adventure', 'Romance']","['Historical', 'Martial Arts']",N/A
13,Kenja no Mago,5956,364,6.62,309714,537313,2761,TV,12,Finished Airing,Spring,2019,"['Sotsu', 'Docomo Anime Store', 'ABC Animation', 'Kadokawa']",['Funimation'],['SILVER LINK.'],"['Action', 'Comedy', 'Fantasy', 'Romance']","['Isekai', 'Reincarnation']",N/A
14,Kaifuku Jutsushi no Yarinaoshi,/A,365,6.34,307578,535401,5698,TV,12,Finished Airing,Winter,2021,"['Lantis', 'AT-X', 'Glovision', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Arts']",['Sentai Filmworks'],['TNK'],"['Adventure', 'Drama', 'Fantasy', 'Erotica']","['Harem', 'Time Travel']",N/A
15,Majo no Takkyuubin,323,366,8.22,346510,533416,5173,Movie,1,Finished Airing,N/A,1989,['Streamline Pictures'],"['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],"['Adventure', 'Award Winning', 'Comedy', 'Drama', 'Fantasy']",N/A,N/A
16,Drifters,719,367,7.9,258011,532901,3825,TV,12,Finished Airing,Fall,2016,"['Hoods Entertainment', 'NBCUniversal Entertainment Japan', 'Shounen Gahousha']",['Funimation'],['Hoods Drifters Studio'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Adult Cast', 'Historical', 'Isekai', 'Samurai']",Seinen
17,Absolute Duo,7080,368,6.43,301849,530736,1463,TV,12,Finished Airing,Winter,2015,"['Half H.P Studio', 'AT-X', 'feng', 'Showgate']",['Funimation'],['8bit'],"['Action', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'School']",N/A
18,Hajime no Ippo,40,369,8.75,258051,529705,19392,TV,75,Finished Airing,Fall,2000,['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],N/A,Combat Sports,Shounen
19,Nekomonogatari: Kuro,682,370,7.93,324476,529033,1197,TV,4,Finished Airing,Fall,2012,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",N/A,N/A
20,Gake no Ue no Ponyo,696,371,7.92,350983,528635,3627,Movie,1,Finished Airing,N/A,2008,"['Dentsu', 'd-rights', 'Toho']","['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],"['Adventure', 'Award Winning', 'Fantasy']",N/A,N/A
21,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,4326,372,6.94,277657,528340,1790,TV,13,Finished Airing,Winter,2013,"['Aniplex', 'Magic Capsule', 'SoftBank Creative']",['Aniplex of America'],['A-1 Pictures'],"['Comedy', 'Romance']","['Harem', 'School']",N/A
22,Evangelion: 1.0 You Are (Not) Alone,569,373,8.01,324073,527221,1822,Movie,1,Finished Airing,N/A,2007,['add some'],['Funimation'],['Khara'],"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",N/A
23,God Eater,3049,374,7.21,246113,525148,1903,TV,13,Finished Airing,Summer,2015,"['Bandai Visual', 'Lantis', 'Anime Consortium Japan']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Sci-Fi']",Military,N/A
24,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",1093,375,7.72,320959,522987,1829,TV,12,Finished Airing,Winter,2016,"['Genco', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",['Sentai Filmworks'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Military']",N/A
25,Violet Evergarden Movie,23,376,8.91,224297,522371,7895,Movie,1,Finished Airing,N/A,2020,"['Shochiku', 'ABC Animation']",['Funimation'],['Kyoto Animation'],"['Award Winning', 'Drama', 'Fantasy']",N/A,N/A
26,Boku no Hero Academia the Movie 2: Heroes:Rising,596,377,7.99,304678,521958,1767,Movie,1,Finished Airing,N/A,2019,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Toho', 'Sony Music Entertainment', 'Nippon Television Network', 'Shueisha', 'Toho Music']",['Funimation'],['Bones'],N/A,Super Power,Shounen
27,Shakugan no Shana,1874,378,7.46,252141,520668,4966,TV,24,Finished Airing,Fall,2005,"['Geneon Universal Entertainment', 'ASCII Media Works', 'Toshiba Entertainment', 'Cosmic Ray', 'Showgate']","['Funimation', 'Geneon Entertainment USA']",['J.C.Staff'],"['Action', 'Drama', 'Fantasy', 'Romance']","['Mahou Shoujo', 'School']",N/A
28,Given,222,379,8.33,284090,520746,16256,TV,11,Finished Airing,Summer,2019,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shinshokan']",['add some'],['Lerche'],"['Boys Love', 'Drama', 'Romance']","['Music', 'School']",N/A
29,Mob Psycho 100 III,42,380,8.74,208092,519422,8008,TV,12,Finished Airing,Fall,2022,"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['add some'],['Bones'],"['Action', 'Comedy', 'Supernatural']",Super Power,N/A
30,Fruits Basket,1191,381,7.68,273538,518850,9137,TV,26,Finished Airing,Summer,2001,"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Funimation'],['Studio Deen'],"['Drama', 'Romance', 'Supernatural']","['Love Polygon', 'School']",Shoujo
31,Gosick,525,382,8.05,220959,518509,8012,TV,24,Finished Airing,Winter,2011,"['TV Tokyo', 'Kadokawa Shoten', 'KlockWorx', 'Memory-Tech', 'NTT Docomo']",['Funimation'],['Bones'],"['Drama', 'Mystery', 'Romance']",Historical,N/A
32,Musaigen no Phantom World,4716,383,6.86,232092,516213,1291,TV,13,Finished Airing,Winter,2016,"['Lantis', 'Pony Canyon', 'Asahi Broadcasting']","['Funimation', 'Crunchyroll']",['Kyoto Animation'],"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['Harem', 'School']",N/A
