,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Toaru Majutsu no Index II,1592,451,7.54,241397,442450,1722,TV,24,Finished Airing,Fall,2010,"['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'ASCII Media Works', 'Delfi Sound']",['Funimation'],['J.C.Staff'],"['Action', 'Sci-Fi']",Super Power,N/A
1,Kaze no Stigma,3229,452,7.18,231197,440203,1958,TV,24,Finished Airing,Spring,2007,['add some'],['Funimation'],['Gonzo'],"['Action', 'Romance', 'Supernatural']",N/A,N/A
2,Boruto: Naruto the Movie,2098,453,7.4,284506,439972,908,Movie,1,Finished Airing,N/A,2015,"['Toho', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",Martial Arts,Shounen
3,Net-juu no Susume,1565,454,7.55,232980,439849,2246,TV,10,Finished Airing,Fall,2017,"['DAX Production', 'flying DOG', 'Sony Music Communications', 'Tokyo MX', 'comico', 'JR East Marketing & Communications', 'Crunchyroll SC Anime Fund']",['Funimation'],['Signal.MD'],"['Comedy', 'Romance']","['Adult Cast', 'Video Game']",N/A
4,Kimi ni Todoke 2nd Season,606,455,7.98,253279,439299,1537,TV,12,Finished Airing,Winter,2011,"['VAP', 'Nippon Television Network', 'Shueisha']","['NIS America, Inc.']",['Production I.G'],"['Drama', 'Romance']",School,Shoujo
5,Asobi Asobase,353,456,8.19,207798,438896,6072,TV,12,Finished Airing,Summer,2018,"['Hakusensha', 'AT-X', 'Sony Music Communications', 'Kadokawa Media House', 'Kadokawa']",['add some'],['Lerche'],N/A,"['Gag Humor', 'School']",Seinen
6,Mieruko-chan,1983,457,7.43,194491,437980,3163,TV,12,Finished Airing,Fall,2021,"['AT-X', 'Magic Capsule', 'Tokyo MX', 'Docomo Anime Store', 'Kadokawa Media House', 'BS NTV', 'Kadokawa']",['Funimation'],['Passione'],"['Comedy', 'Horror', 'Supernatural']",School,N/A
7,Uzaki-chan wa Asobitai!,4029,458,7.01,236475,437630,1645,TV,12,Finished Airing,Summer,2020,"['Movic', 'AT-X', 'Enterbrain', 'Sammy', 'ABC Animation', 'Kadokawa Media House', 'Kadokawa', 'INCS toenter', 'IMAGICA Lab.']",['Funimation'],['ENGI'],N/A,"['Adult Cast', 'Romantic Subtext']",N/A
8,Tanaka-kun wa Itsumo Kedaruge,846,459,7.84,199760,437144,4145,TV,12,Finished Airing,Spring,2016,"['Bandai Visual', 'Dentsu', 'Frontier Works', 'Lantis', 'Shochiku', 'Mainichi Broadcasting System', 'Movic', 'Yahoo! Japan', 'Grooove']",['Sentai Filmworks'],['SILVER LINK.'],N/A,"['Iyashikei', 'School']",N/A
9,Chihayafuru,356,460,8.19,174614,436521,7603,TV,25,Finished Airing,Fall,2011,"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Madhouse'],"['Drama', 'Sports']","['Love Polygon', 'School', 'Strategy Game']",Josei
10,Gabriel DropOut,1915,461,7.45,225583,435747,3040,TV,12,Finished Airing,Winter,2017,"['Media Factory', 'AT-X', 'Sony Music Communications', 'Kadokawa Media House', 'NTT Plala']",['add some'],['Doga Kobo'],"['Comedy', 'Supernatural']","['CGDCT', 'Mythology', 'School']",Shounen
