,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Zoku Natsume Yuujinchou,101,913,8.55,119303,236147,1397,TV,13,Finished Airing,Winter,2009,"['Aniplex', 'Nihon Ad Systems']","['NIS America, Inc.']","[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
1,Neon Genesis Evangelion: The End of Evangelion,102,178,8.55,570041,855332,26534,Movie,1,Finished Airing,N/A,1997,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['GKIDS', 'Manga Entertainment']","['Gainax', 'Production I.G']","['Avant Garde', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",N/A
2,Mushishi: Hihamukage,103,1526,8.54,63369,131238,180,Special,1,Finished Airing,N/A,2014,"['Aniplex', 'Kodansha', 'Delfi Sound']",['add some'],['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Historical', 'Iyashikei']",Seinen
3,Slam Dunk,104,790,8.54,125961,275807,6688,TV,101,Finished Airing,Fall,1993,"['TV Asahi', 'Animax']","['Flatiron Film Company', 'Geneon Entertainment USA']",['Toei Animation'],N/A,"['School', 'Team Sports']",Shounen
4,Bakuman. 3rd Season,105,671,8.54,186689,317247,2916,TV,25,Finished Airing,Fall,2012,"['NHK', 'Shueisha']",['add some'],['J.C.Staff'],"['Comedy', 'Drama', 'Romance']",Otaku Culture,Shounen
5,Kara no Kyoukai Movie 5: Mujun Rasen,106,946,8.53,126305,227693,4454,Movie,1,Finished Airing,N/A,2008,['Notes'],['Aniplex of America'],['ufotable'],"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",N/A,N/A
6,Nana,107,322,8.53,229153,601621,26315,TV,47,Finished Airing,Spring,2006,"['VAP', 'Nippon Television Network', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Madhouse'],"['Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Music']",Shoujo
7,Perfect Blue,108,297,8.53,334939,628595,17000,Movie,1,Finished Airing,N/A,1998,"['Rex Entertainment', 'ONIRO']","['GKIDS', 'Manga Entertainment']",['Madhouse'],"['Avant Garde', 'Drama', 'Horror']","['Adult Cast', 'Psychological', 'Showbiz']",N/A
8,Road of Naruto,109,4330,8.53,13509,21530,90,ONA,1,Finished Airing,N/A,2022,['add some'],['add some'],['Pierrot'],"['Action', 'Fantasy']",Martial Arts,Shounen
9,Shingeki no Kyojin,110,1,8.53,2599935,3657340,160121,TV,25,Finished Airing,Spring,2013,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Award Winning', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",Shounen
10,Shoujo☆Kageki Revue Starlight Movie,111,5070,8.53,5636,14636,591,Movie,1,Finished Airing,N/A,2021,['Bushiroad'],['Sentai Filmworks'],['Kinema Citrus'],N/A,"['Music', 'Performing Arts', 'School']",N/A
11,Sora yori mo Tooi Basho,112,426,8.53,202411,468590,13317,TV,13,Finished Airing,Winter,2018,"['Media Factory', 'Movic', 'AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa', 'NewGin', 'Crunchyroll SC Anime Fund']",['add some'],['Madhouse'],"['Adventure', 'Comedy', 'Drama']",CGDCT,N/A
12,Steins;Gate 0,113,191,8.53,391636,811881,11174,TV,23,Finished Airing,Spring,2018,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic']",['Funimation'],['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']",Time Travel,N/A
13,Summertime Render,114,527,8.53,137904,389737,6238,TV,25,Finished Airing,Spring,2022,"['Shogakukan-Shueisha Productions', 'Movic', 'MAGES.', 'Tokyo MX', 'Shueisha', ""Toy's Factory"", 'Bandai Spirits']",['Disney Platform Distribution'],['OLM'],"['Mystery', 'Supernatural', 'Suspense']",Time Travel,Shounen
14,Yuru Camp△ Season 2,115,1082,8.53,81975,199655,2823,TV,13,Finished Airing,Winter,2021,"['Half H.P Studio', 'MAGES.', 'DeNA']",['add some'],['C-Station'],N/A,"['CGDCT', 'Iyashikei']",N/A
15,Yakusoku no Neverland,116,38,8.52,1192059,1820760,31935,TV,12,Finished Airing,Winter,2019,"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']",['Aniplex of America'],['CloverWorks'],"['Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",Shounen
16,Gintama Movie 1: Shinyaku Benizakura-hen,117,1363,8.52,89395,154148,599,Movie,1,Finished Airing,N/A,2010,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['Sentai Filmworks'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Parody', 'Samurai']",Shounen
17,Gintama.: Porori-hen,118,1144,8.52,94313,186828,868,TV,13,Finished Airing,Fall,2017,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
18,Kimetsu no Yaiba,119,7,8.52,1871120,2706616,85956,TV,26,Finished Airing,Spring,2019,"['Aniplex', 'Shueisha']",['Aniplex of America'],['ufotable'],"['Action', 'Award Winning', 'Fantasy']",Historical,Shounen
19,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,120,994,8.52,100624,218148,3067,TV,26,Finished Airing,Winter,2004,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Kodansha', 'Tokuma Shoten', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",Seinen
20,Samurai Champloo,121,104,8.51,601579,1164082,35419,TV,26,Finished Airing,Spring,2004,"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']","['Funimation', 'Geneon Entertainment USA']",['Manglobe'],"['Action', 'Adventure', 'Comedy']","['Historical', 'Samurai']",N/A
21,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,122,595,8.51,204839,353609,3328,Movie,1,Finished Airing,N/A,2019,"['Aniplex', 'Notes', 'Kadokawa']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Supernatural']",N/A,N/A
22,Hotaru no Haka,123,306,8.51,369906,621294,7382,Movie,1,Finished Airing,N/A,1988,['add some'],"['ADV Films', 'Central Park Media', 'Sentai Filmworks']",['Studio Ghibli'],N/A,Historical,N/A
23,Ansatsu Kyoushitsu 2nd Season,124,85,8.5,826665,1328783,17136,TV,25,Finished Airing,Winter,2016,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting']",['Funimation'],['Lerche'],"['Action', 'Comedy']",School,Shounen
24,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,125,131,8.5,704923,1024630,37196,TV,39,Finished Airing,Spring,2016,"['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",['VIZ Media'],['David Production'],"['Action', 'Adventure', 'Supernatural']",N/A,Shounen
25,Uchuu Kyoudai,126,1155,8.5,50686,184123,3775,TV,99,Finished Airing,Spring,2012,"['Yomiuri Telecasting', 'Trinity Sound']",['Sentai Filmworks'],['A-1 Pictures'],"['Comedy', 'Sci-Fi']","['Adult Cast', 'Space', 'Workplace']",Seinen
26,One Punch Man,127,4,8.5,2083728,2989244,61289,TV,12,Finished Airing,Fall,2015,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']",['VIZ Media'],['Madhouse'],"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",Seinen
27,Shingeki no Kyojin Season 2,128,12,8.5,1713429,2498716,20489,TV,12,Finished Airing,Spring,2017,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",Shounen
28,Mob Psycho 100,129,33,8.49,1168553,1904577,44214,TV,12,Finished Airing,Summer,2016,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","['Funimation', 'Crunchyroll']",['Bones'],"['Action', 'Comedy', 'Supernatural']",Super Power,N/A
29,Aria the Origination,130,1623,8.49,30301,121595,4002,TV,13,Finished Airing,Winter,2008,"['Production I.G', 'TV Tokyo', 'Media Factory', 'Shochiku', 'Mag Garden']",['Nozomi Entertainment'],['Hal Film Maker'],"['Fantasy', 'Sci-Fi', 'Slice of Life']",Iyashikei,Shounen
30,Banana Fish,131,203,8.49,338618,786781,28392,TV,24,Finished Airing,Summer,2018,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shogakukan']",['add some'],['MAPPA'],"['Action', 'Adventure', 'Drama', 'Suspense']","['Delinquents', 'Organized Crime', 'Psychological']",Shoujo
31,Jujutsu Kaisen 0 Movie,132,285,8.49,323171,643546,8354,Movie,1,Finished Airing,N/A,2021,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'Sumzap', 'Studio Easter']",['Crunchyroll'],['MAPPA'],"['Action', 'Fantasy']",School,Shounen
32,Rainbow: Nisha Rokubou no Shichinin,133,550,8.48,149802,375206,8177,TV,26,Finished Airing,Spring,2010,"['VAP', 'Nippon Television Network']",['Funimation'],['Madhouse'],"['Drama', 'Suspense']","['Delinquents', 'Historical']",Seinen
33,Yuru Camp△ Movie,134,2554,8.48,12884,60742,304,Movie,1,Finished Airing,N/A,2022,['DeNA'],['add some'],['C-Station'],N/A,"['Adult Cast', 'CGDCT', 'Iyashikei']",N/A
34,Chihayafuru 3,135,1547,8.47,56427,129005,1413,TV,24,Finished Airing,Fall,2019,"['Kodansha', 'Nippon Television Network', 'TC Entertainment', 'Nippon Television Music', 'FBC']",['Sentai Filmworks'],['Madhouse'],"['Drama', 'Sports']","['Love Polygon', 'School', 'Strategy Game']",Josei
35,Fruits Basket: Prelude,136,2104,8.47,25216,83879,705,Movie,1,Finished Airing,N/A,2022,"['TV Tokyo', 'TV Osaka', 'Funimation', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', '8PAN']",['Crunchyroll'],['TMS Entertainment'],"['Drama', 'Romance']",N/A,Shoujo
36,Gintama: The Semi-Final,137,2437,8.47,32272,65919,229,Special,2,Finished Airing,N/A,2021,['add some'],['add some'],['Bandai Namco Pictures'],"['Action', 'Comedy']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
