,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Osomatsu-san,651,1284,7.95,64473,165992,3489,TV,25,Finished Airing,Fall,2015,"['TV Tokyo', 'Dentsu', 'Rakuonsha', 'Avex Pictures', 'Daiichi Shokai', 'Fujio Production']",['VIZ Media'],['Pierrot'],N/A,"['Gag Humor', 'Parody']",N/A
1,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,652,1325,7.95,28406,160773,1759,TV,12,Currently Airing,Winter,2023,"['Pony Canyon', 'Movic', 'TOHO animation', 'Tokyo MX', 'Good Smile Company', 'Pia', 'SB Creative']","['Crunchyroll', 'MediaLink Entertainment Limited']",['Project No.9'],"['Comedy', 'Romance']",School,N/A
2,Phantom: Requiem for the Phantom,653,657,7.95,122230,322060,4414,TV,26,Finished Airing,Spring,2009,['Genco'],['Funimation'],['Bee Train'],"['Action', 'Drama', 'Suspense']",Organized Crime,Seinen
3,Tekkon Kinkreet,654,1816,7.95,42444,105609,1386,Movie,1,Finished Airing,N/A,2006,"['Aniplex', 'Tokyo MX', 'Beyond C.']",['Sony Pictures Entertainment'],['Studio 4°C'],"['Action', 'Adventure', 'Award Winning', 'Supernatural']",Psychological,N/A
4,Kokoro Connect: Michi Random,655,861,7.94,164987,251337,831,Special,4,Finished Airing,N/A,2012,"['Starchild Records', 'Enterbrain']",['Sentai Filmworks'],['SILVER LINK.'],"['Drama', 'Romance', 'Supernatural']",School,N/A
5,Non Non Biyori,656,502,7.94,166473,405485,6075,TV,12,Finished Airing,Fall,2013,"['TV Tokyo', 'Lantis', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Sony Music Communications']",['Sentai Filmworks'],['SILVER LINK.'],N/A,"['CGDCT', 'Iyashikei', 'School']",Seinen
6,Promare,657,831,7.94,126601,259196,3162,Movie,1,Finished Airing,N/A,2019,"['Aniplex', 'Half H.P Studio', 'SANZIGEN', 'XFLAG', 'Toho Visual Entertainment', 'VV-ALKLINE', 'Deho Gallery']",['GKIDS'],['Trigger'],"['Action', 'Sci-Fi']","['Mecha', 'Super Power']",N/A
7,Takarajima,658,4603,7.94,6424,18826,258,TV,26,Finished Airing,Fall,1978,['Tokyo Movie Shinsha'],['Discotek Media'],"['Madhouse', 'TMS Entertainment']","['Adventure', 'Drama', 'Mystery']",Historical,N/A
8,Usagi Drop Specials,659,2384,7.94,39926,68363,38,Special,4,Finished Airing,N/A,2011,['add some'],"['NIS America, Inc.']",['Production I.G'],N/A,"['Childcare', 'Iyashikei']",Josei
9,Wotaku ni Koi wa Muzukashii,660,159,7.94,479708,900209,10791,TV,11,Finished Airing,Spring,2018,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Ichijinsha', 'Kanetsu Investment', 'Christmas Holly']",['add some'],['A-1 Pictures'],N/A,"['Adult Cast', 'Otaku Culture', 'Workplace']",N/A
10,Wotaku ni Koi wa Muzukashii OVA,661,1143,7.94,92381,186989,459,OVA,3,Finished Airing,N/A,2019,"['Aniplex', 'Half H.P Studio', 'Fujipacific Music']",['add some'],"['A-1 Pictures', 'Lapin Track']",N/A,"['Adult Cast', 'Otaku Culture', 'Workplace']",N/A
