,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,451,1064,8.11,125533,203673,431,ONA,6,Finished Airing,N/A,2019,['add some'],['add some'],"['J.C.Staff', 'Egg Firm']","['Comedy', 'Supernatural']","['Gag Humor', 'School', 'Super Power']",Shounen
1,"Komi-san wa, Comyushou desu. 2nd Season",452,500,8.1,186866,407120,3656,TV,12,Finished Airing,Spring,2022,"['TV Tokyo', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Half H.P Studio', 'Nippon Columbia']",['add some'],['OLM'],N/A,"['Romantic Subtext', 'School']",Shounen
2,Kuroko no Basket: Saikou no Present desu,453,1888,8.1,52447,99383,197,Special,1,Finished Airing,N/A,2015,"['Bandai Visual', 'Nihon Ad Systems']",['add some'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
3,Overlord IV,454,467,8.1,191574,430926,6463,TV,13,Finished Airing,Summer,2022,"['AT-X', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['add some'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",Isekai,N/A
4,Shokugeki no Souma: Ni no Sara,455,123,8.1,688082,1078052,3042,TV,13,Finished Airing,Summer,2016,"['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
5,Tamayura: Sotsugyou Shashin Part 4 - Ashita,456,5810,8.1,3048,10452,68,Movie,1,Finished Airing,N/A,2016,"['Shochiku', 'flying DOG']",['add some'],['TYO Animations'],"['Comedy', 'Drama', 'Slice of Life']","['CGDCT', 'Iyashikei']",N/A
6,Tonikaku Kawaii: SNS,457,1564,8.1,65063,127355,704,OVA,1,Finished Airing,N/A,2021,['Warner Bros. Japan'],['Crunchyroll'],['Seven Arcs'],"['Comedy', 'Romance']",N/A,Shounen
7,Tsubasa: Shunraiki,458,2563,8.1,29165,60425,252,OVA,2,Finished Airing,N/A,2009,['Kodansha'],['Funimation'],['Production I.G'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",N/A,Shounen
8,Tsukimonogatari,459,514,8.1,226165,399209,943,TV,4,Finished Airing,Fall,2014,['Aniplex'],['Aniplex of America'],['Shaft'],"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",N/A,N/A
9,Uchouten Kazoku 2,460,2538,8.1,24597,61458,297,TV,12,Finished Airing,Spring,2017,"['Lantis', 'Good Smile Company', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'DMM.com', 'Cygames']",['add some'],['P.A. Works'],"['Comedy', 'Drama', 'Fantasy', 'Slice of Life']",Mythology,N/A
10,Zankyou no Terror,461,122,8.1,582304,1093698,21176,TV,11,Finished Airing,Summer,2014,"['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings']",['Funimation'],['MAPPA'],"['Mystery', 'Suspense']",Psychological,N/A
11,Akatsuki no Yona OVA,462,1565,8.1,66386,126960,355,OVA,3,Finished Airing,N/A,2015,"['Hakusensha', 'Age Global Networks']",['add some'],['Pierrot'],"['Action', 'Comedy', 'Fantasy']",N/A,Shoujo
12,Baccano! Specials,463,1236,8.1,109282,173517,301,Special,3,Finished Airing,N/A,2008,['Aniplex'],"['Funimation', 'Aniplex of America']","[""Brain's Base""]","['Action', 'Comedy', 'Mystery', 'Supernatural']","['Historical', 'Organized Crime']",N/A
13,Doupo Cangqiong: San Nian Zhi Yue,464,7446,8.1,2613,5639,157,ONA,13,Finished Airing,N/A,2021,['Tencent Penguin Pictures'],['add some'],['Motion Magic'],"['Action', 'Fantasy']",Martial Arts,N/A
14,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,465,113,8.1,791142,1116130,20676,TV,24,Finished Airing,Spring,2014,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']",['VIZ Media'],['David Production'],"['Action', 'Adventure', 'Drama', 'Supernatural']",N/A,Shounen
15,Kidou Senshi Gundam Unicorn,466,1967,8.1,47573,93813,1534,OVA,7,Finished Airing,N/A,2010,"['Bandai Visual', 'Kadokawa Shoten']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",N/A
16,5-toubun no Hanayome ∬,467,286,8.09,382175,642343,11192,TV,12,Finished Airing,Winter,2021,"['Pony Canyon', 'Kodansha', 'DAX Production', 'BS11', 'Nichion', 'GYAO!', 'Good Smile Film', 'MAGNET']",['add some'],['Bibury Animation Studios'],"['Comedy', 'Romance']","['Harem', 'School']",Shounen
17,Ansatsu Kyoushitsu,468,34,8.09,1106170,1870970,28241,TV,22,Finished Airing,Winter,2015,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha']",['Funimation'],['Lerche'],"['Action', 'Comedy']",School,Shounen
