,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Doukyuusei (Movie),251,868,8.29,133512,249362,5790,Movie,1,Finished Airing,N/A,2016,"['Aniplex', 'Half H.P Studio']",['Aniplex of America'],['A-1 Pictures'],"['Boys Love', 'Romance']",School,N/A
1,Dr. Stone,252,56,8.29,951773,1575817,26004,TV,24,Finished Airing,Summer,2019,"['TOHO animation', 'Shueisha', '8PAN']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']","['Survival', 'Time Travel']",Shounen
2,Gintama: Shinyaku Benizakura-hen,258,3151,8.29,18202,41277,50,Special,1,Finished Airing,N/A,2010,['add some'],['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Parody', 'Samurai']",Shounen
3,Hotarubi no Mori e,254,213,8.29,434868,776337,9919,Movie,1,Finished Airing,N/A,2011,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'DAX Production']",['add some'],"[""Brain's Base""]","['Award Winning', 'Drama', 'Romance', 'Supernatural']",N/A,Shoujo
4,Kino no Tabi: The Beautiful World,255,737,8.29,91001,292798,6504,TV,13,Finished Airing,Spring,2003,"['WOWOW', 'Genco', 'Pony Canyon', 'Studio Wombat', 'chara-ani.com', 'ASCII Media Works']","['ADV Films', 'Sentai Filmworks']",['A.C.G.T.'],"['Action', 'Adventure', 'Slice of Life']","['Iyashikei', 'Psychological']",N/A
5,World Trigger 3rd Season,256,1877,8.29,35995,99853,1007,TV,14,Finished Airing,Fall,2021,['TV Asahi'],['add some'],['Toei Animation'],"['Action', 'Sci-Fi', 'Supernatural']",School,Shounen
6,Major: World Series,257,3439,8.29,19836,35155,102,OVA,2,Finished Airing,N/A,2011,['add some'],['add some'],['SynergySP'],N/A,Team Sports,Shounen
7,Rurouni Kenshin: Meiji Kenkaku Romantan,258,421,8.29,227340,470301,9806,TV,94,Finished Airing,Winter,1996,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Media Blasters', 'Aniplex of America']","['Gallop', 'Studio Deen']","['Action', 'Adventure', 'Comedy', 'Romance']","['Historical', 'Samurai']",Shounen
8,Shinsekai yori,259,232,8.29,267047,745948,21634,TV,25,Finished Airing,Fall,2012,"['Aniplex', 'TV Asahi', 'Pony Canyon']",['Sentai Filmworks'],['A-1 Pictures'],"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']",Psychological,N/A
9,Shirobako,252,476,8.29,136878,424369,6163,TV,24,Finished Airing,Fall,2014,"['Sotsu', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Infinite', 'Imagine']",['Sentai Filmworks'],['P.A. Works'],"['Award Winning', 'Comedy', 'Drama']","['Adult Cast', 'Otaku Culture', 'Workplace']",N/A
10,Steins;Gate: Oukoubakko no Poriomania,261,486,8.29,263818,417017,789,Special,1,Finished Airing,N/A,2012,['Frontier Works'],['Funimation'],['White Fox'],"['Comedy', 'Sci-Fi']",Time Travel,N/A
11,Redline,262,602,8.28,189588,350138,5201,Movie,1,Finished Airing,N/A,2009,['Tohokushinsha Film Corporation'],['Anchor Bay Films'],['Madhouse'],"['Action', 'Sci-Fi']","['Adult Cast', 'Racing']",N/A
12,Fate/Zero,263,73,8.28,816647,1424067,32869,TV,13,Finished Airing,Fall,2011,"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Supernatural']",N/A,N/A
