,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Seto no Hanayome OVA,851,2778,7.83,27626,51780,30,OVA,2,Finished Airing,N/A,2008,['add some'],['add some'],"['Gonzo', 'AIC']","['Comedy', 'Romance']","['Parody', 'School']",Shounen
1,Shin Jidai,852,10769,7.83,1079,1801,6,Music,1,Finished Airing,N/A,2022,['add some'],['add some'],['add some'],N/A,Music,N/A
2,Suzumiya Haruhi no Yuuutsu,853,169,7.83,460795,878470,14801,TV,14,Finished Airing,Spring,2006,"['Lantis', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx']","['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']",['Kyoto Animation'],"['Award Winning', 'Comedy', 'Mystery', 'Sci-Fi', 'Slice of Life']",School,N/A
3,Tasogare Otome x Amnesia,854,533,7.83,175444,384113,4420,TV,12,Finished Airing,Spring,2012,"['Square Enix', 'Media Factory']",['Sentai Filmworks'],['SILVER LINK.'],"['Horror', 'Mystery', 'Romance', 'Supernatural']",School,Shounen
4,Tentai Senshi Sunred 2nd Season,855,6557,7.83,3477,7781,24,TV,26,Finished Airing,Fall,2009,['flying DOG'],['add some'],['AIC ASTA'],N/A,"['Parody', 'Super Power']",Seinen
5,91 Days,856,269,7.83,306855,671869,7580,TV,12,Finished Airing,Summer,2016,"['Shochiku', 'Mainichi Broadcasting System', 'Shochiku Music Publishing']","['Funimation', 'Crunchyroll']",['Shuka'],"['Action', 'Drama']","['Historical', 'Organized Crime']",N/A
6,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,857,3704,7.83,12246,30232,122,Movie,1,Finished Airing,N/A,2015,['Sotsu'],['add some'],['SANZIGEN'],"['Action', 'Sci-Fi']",N/A,Seinen
7,Break Blade Movie 4: Sanka no Chi,858,2654,7.83,34374,56785,27,Movie,1,Finished Airing,N/A,2010,['KlockWorx'],['Sentai Filmworks'],"['Production I.G', 'Xebec']","['Action', 'Fantasy']","['Adult Cast', 'Mecha', 'Military']",Shounen
8,Capeta,859,4021,7.83,11184,25505,295,TV,52,Finished Airing,Fall,2005,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Delfi Sound']",['add some'],['Studio Comet'],N/A,Racing,Shounen
9,Danshi Koukousei no Nichijou Specials,860,1533,7.83,71228,130839,184,Special,6,Finished Airing,N/A,2012,['add some'],"['NIS America, Inc.']",['Sunrise'],N/A,"['Gag Humor', 'School']",N/A
10,Flanders no Inu (Movie),861,4358,7.83,5493,21205,78,Movie,1,Finished Airing,N/A,1997,"['Shochiku', 'Fuji TV', 'Pioneer LDC']",['Geneon Entertainment USA'],['Nippon Animation'],N/A,"['Historical', 'Pets', 'Visual Arts']",N/A
11,Gungrave,862,1181,7.83,67034,181337,2330,TV,26,Finished Airing,Fall,2003,['Tohokushinsha Film Corporation'],"['Funimation', 'Geneon Entertainment USA']",['Madhouse'],"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Gore', 'Organized Crime', 'Super Power']",N/A
12,Haikyuu!! (OVA),863,3784,7.83,9343,28999,56,OVA,10,Finished Airing,N/A,2020,['Shueisha'],['add some'],['add some'],N/A,Team Sports,Shounen
13,Haikyuu!! Riku vs. Kuu,864,794,7.83,158436,274101,573,OVA,2,Finished Airing,N/A,2020,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
14,Hug tto! Precure,865,5020,7.83,4622,15077,244,TV,49,Finished Airing,Winter,2018,"['Asahi Broadcasting', 'ABC Animation', 'Echoes']",['add some'],['Toei Animation'],"['Action', 'Fantasy']",Mahou Shoujo,N/A
15,Isekai Ojisan,866,847,7.83,63323,255774,1334,TV,13,Currently Airing,Summer,2022,"['Movic', 'AT-X', 'Sammy', 'BS11', 'Kadokawa Media House', 'Kadokawa']",['add some'],['AtelierPontdarc'],"['Comedy', 'Fantasy']","['Adult Cast', 'Isekai', 'Otaku Culture', 'Parody']",N/A
16,Kidou Senshi Gundam: Senkou no Hathaway,867,3652,7.83,15541,31070,249,Movie,1,Finished Airing,N/A,2021,['add some'],['add some'],['Sunrise'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",N/A
17,Yuru Yuri♪♪,868,1201,7.83,98643,177965,936,TV,12,Finished Airing,Summer,2012,"['Sotsu', 'Pony Canyon', 'DAX Production']","['NIS America, Inc.']",['Doga Kobo'],"['Comedy', 'Girls Love']","['CGDCT', 'Gag Humor', 'School']",N/A
18,Yuusha-Ou GaoGaiGar,869,4458,7.83,5891,20251,324,TV,49,Finished Airing,Winter,1997,['Victor Entertainment'],"['Media Blasters', 'Discotek Media']",['Sunrise'],"['Action', 'Adventure', 'Sci-Fi']",Mecha,N/A
19,Tsurune: Tsunagari no Issha,870,3560,7.82,2861,32551,170,TV,13,Currently Airing,Winter,2023,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation', 'Heart Company', 'Bandai Namco Music Live']",['Sentai Filmworks'],['Kyoto Animation'],N/A,School,N/A
20,Tunshi Xingkong,871,7490,7.82,1988,5541,82,ONA,26,Finished Airing,N/A,2020,"['Tencent Animation & Comics', 'Tencent Penguin Pictures']",['add some'],['Sparkly Key Animation Studio'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Martial Arts,N/A
21,Working'!!,872,851,7.82,147067,255004,451,TV,13,Finished Airing,Fall,2011,"['Aniplex', 'Yomiuri Telecasting', 'Rakuonsha']","['NIS America, Inc.']",['A-1 Pictures'],N/A,"['Romantic Subtext', 'Workplace']",Seinen
22,Little Witch Academia (TV),873,316,7.82,297690,606366,7178,TV,25,Finished Airing,Winter,2017,"['Ultra Super Pictures', 'TOHO animation', 'Good Smile Company']",['add some'],['Trigger'],"['Adventure', 'Comedy', 'Fantasy']",School,N/A
23,Lupin III: The First,874,3775,7.82,15097,29145,158,Movie,1,Finished Airing,N/A,2019,"['Toho', 'Abe Shuuji Jimusho']",['GKIDS'],"['TMS Entertainment', 'Marza Animation Planet']","['Action', 'Adventure', 'Comedy', 'Mystery']",Adult Cast,Seinen
24,Mahoujin Guruguru (2017),875,3606,7.82,9942,31718,241,TV,24,Finished Airing,Summer,2017,"['TV Tokyo', 'Square Enix', 'Lantis', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Sony Music Communications']",['add some'],['Production I.G'],"['Adventure', 'Comedy', 'Fantasy']",Parody,Shounen
25,Somali to Mori no Kamisama,876,801,7.82,110168,271681,1559,TV,12,Finished Airing,Winter,2020,"['Movic', 'Crunchyroll', 'North Stars Pictures', 'JY Animation', 'CA-Cygames Anime Fund', 'Mixer']",['add some'],"['Satelight', 'HORNETS']","['Adventure', 'Drama', 'Fantasy']","['Childcare', 'Mythology']",N/A
26,There She Is!!,877,4119,7.82,13407,24183,159,ONA,5,Finished Airing,N/A,2003,['SamBakZa'],['add some'],['add some'],"['Comedy', 'Romance']",Anthropomorphic,N/A
27,Aggressive Retsuko (ONA) 3rd Season,878,2142,7.82,52192,80803,238,ONA,10,Finished Airing,N/A,2020,"['Sanrio', 'Netflix']",['add some'],['Fanworks'],N/A,"['Anthropomorphic', 'Workplace']",N/A
28,Akachan to Boku,879,4324,7.82,8080,21667,144,TV,35,Finished Airing,Summer,1996,"['TV Tokyo', 'Youmex', 'Yomiuri Advertising']",['add some'],['Pierrot'],"['Comedy', 'Drama']",Childcare,Shoujo
29,Berserk: Ougon Jidai-hen - Memorial Edition,880,3836,7.82,10422,28113,186,TV,13,Finished Airing,Fall,2022,"['Aniplex', 'VAP', 'Hakusensha', 'Movic', 'Yahoo! Japan', 'Good Smile Company', 'Beyond C.', 'KDDI', 'Rialto Entertainment']",['add some'],['Studio 4°C'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Gore', 'Military', 'Mythology']",Seinen
30,Blue Period,881,498,7.82,177678,408038,5359,TV,12,Finished Airing,Fall,2021,"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'Bit grooove promotion', 'DMM Music']",['add some'],['Seven Arcs'],N/A,"['School', 'Visual Arts']",Seinen
31,Bungou Stray Dogs,882,91,7.82,635739,1260236,24297,TV,12,Finished Airing,Spring,2016,"['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']","['Funimation', 'Crunchyroll']",['Bones'],"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Organized Crime', 'Super Power']",Seinen
32,Eikoku Koi Monogatari Emma: Molders-hen,883,4008,7.82,11947,25653,101,TV,12,Finished Airing,Spring,2007,['add some'],['Nozomi Entertainment'],['Ajia-do'],"['Drama', 'Romance']",Historical,Seinen
33,Fate/Grand Carnival,884,2891,7.82,18051,48459,244,OVA,4,Finished Airing,N/A,2020,"['Aniplex', 'Studio Hibari', 'Lantis', 'Notes', 'Good Smile Film', 'Delightworks']",['Aniplex of America'],['Lerche'],"['Comedy', 'Fantasy', 'Supernatural']",N/A,N/A
34,Hidamari Sketch x 365,885,3673,7.82,15258,30760,182,TV,13,Finished Airing,Summer,2008,"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha']",['Sentai Filmworks'],['Shaft'],"['Comedy', 'Slice of Life']","['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",N/A
