,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Overlord II,1002,151,7.76,586549,945604,4260,TV,13,Finished Airing,Winter,2018,"['AT-X', 'Enterbrain', 'Grooove', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['Funimation'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",Isekai,N/A
1,Black Lagoon,539,152,8.03,461525,939321,17229,TV,12,Finished Airing,Spring,2006,"['Geneon Universal Entertainment', 'Shogakukan']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],N/A,"['Adult Cast', 'Organized Crime']",Seinen
2,Fairy Tail (2014),1232,153,7.66,527815,937639,11755,TV,102,Finished Airing,Spring,2014,"['TV Tokyo', 'Dentsu']",['Funimation'],"['A-1 Pictures', 'Bridge']","['Action', 'Adventure', 'Fantasy']",N/A,Shounen
3,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,88,154,8.58,618349,930387,29772,TV,39,Finished Airing,Fall,2018,"['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",['VIZ Media'],['David Production'],"['Action', 'Adventure', 'Supernatural']",Organized Crime,Shounen
4,Dr. Stone: Stone Wars,370,155,8.18,511316,921962,7009,TV,11,Finished Airing,Winter,2021,"['TOHO animation', 'Shueisha', 'Toho Music', '8PAN']",['Funimation'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']","['Survival', 'Time Travel']",Shounen
5,Shokugeki no Souma: San no Sara,558,156,8.02,561799,920524,2620,TV,12,Finished Airing,Fall,2017,"['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
6,Fate/stay night,2656,157,7.28,495383,903730,7113,TV,24,Finished Airing,Winter,2006,"['Geneon Universal Entertainment', 'Frontier Works', 'TBS', 'KlockWorx', 'Notes']","['Sentai Filmworks', 'Geneon Entertainment USA']",['Studio Deen'],"['Action', 'Fantasy', 'Romance', 'Supernatural']",N/A,N/A
7,Darker than Black: Kuro no Keiyakusha,490,158,8.07,423300,903411,16284,TV,25,Finished Airing,Spring,2007,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Myrica Music']",['Funimation'],['Bones'],"['Action', 'Mystery', 'Sci-Fi']",Super Power,N/A
8,Wotaku ni Koi wa Muzukashii,661,159,7.94,480672,902088,10811,TV,11,Finished Airing,Spring,2018,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Ichijinsha', 'Kanetsu Investment', 'Christmas Holly']",['add some'],['A-1 Pictures'],N/A,"['Adult Cast', 'Otaku Culture', 'Workplace']",N/A
9,"Kanojo, Okarishimasu",3617,160,7.1,571024,897187,8057,TV,12,Finished Airing,Summer,2020,"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'DMM Music']",['add some'],['TMS Entertainment'],"['Comedy', 'Romance']",N/A,Shounen
10,Tenki no Ko,249,161,8.3,536633,894975,11355,Movie,1,Finished Airing,N/A,2019,"['Toho', 'Lawson HMV Entertainment', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting', 'STORY', 'Lawson Entertainment']",['GKIDS'],['CoMix Wave Films'],"['Award Winning', 'Drama', 'Fantasy', 'Romance']",N/A,N/A
