,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Doraemon (1979),951,2630,7.78,34847,57796,550,TV,1787,Finished Airing,Spring,1979,"['TV Asahi', 'Asatsu DK']",['add some'],['Shin-Ei Animation'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",Anthropomorphic,N/A
1,Go! Princess Precure,952,4856,7.78,6094,16455,295,TV,50,Finished Airing,Winter,2015,['add some'],['add some'],['Toei Animation'],"['Action', 'Comedy', 'Fantasy']","['Mahou Shoujo', 'School']",N/A
2,Gochuumon wa Usagi desu ka??,953,1594,7.78,56700,124765,849,TV,12,Finished Airing,Fall,2015,"['Frontier Works', 'AT-X', 'Magic Capsule', 'Bushiroad', 'Showgate', 'Houbunsha', 'NBCUniversal Entertainment Japan', 'i0+', 'Hakuhodo DY Music & Pictures', 'RAY']",['Sentai Filmworks'],"['Kinema Citrus', 'White Fox']",N/A,"['CGDCT', 'Iyashikei', 'Workplace']",N/A
3,Hoozuki no Reitetsu,954,1576,7.78,43342,125900,1216,TV,13,Finished Airing,Winter,2014,"['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha']",['Sentai Filmworks'],['Wit Studio'],"['Comedy', 'Fantasy', 'Supernatural']",Mythology,Seinen
4,Jin-Rou,955,1302,7.78,71771,163089,1730,Movie,1,Finished Airing,N/A,2000,['add some'],"['Bandai Entertainment', 'Discotek Media']",['Production I.G'],"['Award Winning', 'Drama', 'Romance']","['Adult Cast', 'Detective', 'Military']",N/A
5,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),956,942,7.78,141882,230324,446,Movie,1,Finished Airing,N/A,2007,['Notes'],['Aniplex of America'],['ufotable'],"['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",N/A,N/A
6,Kumichou Musume to Sewagakari,957,1196,7.78,68775,178590,890,TV,12,Finished Airing,Summer,2022,"['Pony Canyon', 'Bushiroad', 'Tokyo MX', 'Docomo Anime Store', 'bilibili', 'Micro Magazine Publishing', 'Bushiroad Move', 'Micro House']",['add some'],"['feel.', 'Gaina']",N/A,"['Childcare', 'Organized Crime']",N/A
7,Lupin III: Part II,958,3546,7.78,11181,32763,325,TV,155,Finished Airing,Fall,1977,"['VAP', 'Animax', 'Studio Jack', 'Streamline Pictures']","['Discotek Media', 'Geneon Entertainment USA']",['Tokyo Movie Shinsha'],"['Action', 'Adventure', 'Comedy', 'Mystery']",Adult Cast,Seinen
8,Magic Kaito,959,2377,7.78,30724,68594,330,Special,12,Finished Airing,N/A,2010,['add some'],['add some'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Romance']",N/A,Shounen
9,Mind Game,960,2161,7.78,29729,80182,1013,Movie,1,Finished Airing,N/A,2004,['Beyond C.'],['GKIDS'],['Studio 4°C'],"['Adventure', 'Avant Garde', 'Award Winning', 'Comedy', 'Romance']","['Adult Cast', 'Psychological']",N/A
10,New Initial D Movie: Legend 1 - Kakusei,961,3471,7.78,17099,34422,74,Movie,1,Finished Airing,N/A,2014,"['Shochiku', 'Kodansha', 'Ultra Super Pictures', 'Avex Pictures', 'Sammy']",['Sentai Filmworks'],"['SANZIGEN', 'LIDENFILMS']",N/A,Racing,Seinen
11,Saraiya Goyou,962,2048,7.78,26610,88353,838,TV,12,Finished Airing,Spring,2010,"['Dentsu', 'Media Factory', 'Movic', 'Fuji TV', 'Shogakukan']","['NIS America, Inc.']",['Manglobe'],N/A,"['Adult Cast', 'Historical', 'Samurai']",Seinen
12,Seitokai Yakuindomo Movie 2,963,3787,7.78,7571,28979,50,Movie,1,Finished Airing,N/A,2021,"['Glovision', 'King Records']",['Sentai Filmworks'],['GoHands'],N/A,"['Gag Humor', 'School']",Shounen
13,Sekaiichi Hatsukoi: Valentine-hen,964,3220,7.78,17990,39602,59,Movie,1,Finished Airing,N/A,2014,['Kadokawa Shoten'],['add some'],['Studio Deen'],"['Boys Love', 'Comedy', 'Romance']","['Adult Cast', 'Workplace']",N/A
14,Tonikaku Kawaii: Seifuku,965,2449,7.78,20428,65322,283,Special,1,Finished Airing,N/A,2022,"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'Shogakukan', 'Crunchyroll']",['add some'],['Seven Arcs'],"['Comedy', 'Romance']",N/A,Shounen
15,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,966,4799,7.77,6336,17027,172,TV,373,Finished Airing,Summer,1996,"['Asatsu DK', 'Fuji TV']",['add some'],['Gallop'],N/A,"['Adult Cast', 'Detective', 'Gag Humor']",Shounen
16,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,967,1884,7.77,31038,99519,840,OVA,8,Finished Airing,N/A,2016,"['Aniplex', 'Kodansha']",['add some'],['Shaft'],"['Drama', 'Mystery', 'Supernatural']",N/A,N/A
17,Love Live! School Idol Project 2nd Season,968,873,7.77,144207,248247,2747,TV,13,Finished Airing,Spring,2014,"['Bandai Visual', 'Lantis', 'Bushiroad']","['NIS America, Inc.']",['Sunrise'],"['Award Winning', 'Slice of Life']","['Idols (Female)', 'Music', 'School']",N/A
18,Lupin III vs. Detective Conan,969,3499,7.77,17913,33673,40,Special,1,Finished Airing,N/A,2009,['Tokyo Movie Shinsha'],['Discotek Media'],['TMS Entertainment'],"['Action', 'Adventure', 'Comedy', 'Mystery']",N/A,Shounen
19,Lupin the Third: Mine Fujiko to Iu Onna,970,2574,7.77,22619,60056,463,TV,13,Finished Airing,Spring,2012,"['Tohokushinsha Film Corporation', 'Po10tial', 'Nippon Television Network']","['Funimation', 'Discotek Media']",['TMS Entertainment'],"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Ecchi']","['Adult Cast', 'Samurai']",Seinen
20,Saenai Heroine no Sodatekata ♭,971,610,7.77,175989,344869,1648,TV,11,Finished Airing,Spring,2017,"['Aniplex', 'Dentsu', 'Fuji TV', 'Cospa', 'Good Smile Company', 'Kansai Telecasting', 'Fujimi Shobo']",['add some'],['A-1 Pictures'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'Otaku Culture', 'School']",N/A
21,Snow Halation,972,4326,7.77,12622,21662,98,Music,1,Finished Airing,N/A,2010,['Lantis'],['add some'],['Sunrise'],N/A,"['Idols (Female)', 'Music']",N/A
