,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kurenai no Buta,645,951,7.95,143857,227940,1885,Movie,1,Finished Airing,N/A,1992,"['Tokuma Shoten', 'Nippon Television Network']","['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Romance']","['Historical', 'Military']",N/A
1,Mirai Nikki,3099,952,7.2,123213,227715,2378,OVA,1,Finished Airing,N/A,2010,['add some'],['add some'],['asread.'],"['Action', 'Supernatural']","['High Stakes Game', 'Survival']",Shounen
2,One Outs,214,953,8.33,110192,225844,3900,TV,25,Finished Airing,Fall,2008,"['VAP', 'Nippon Television Network', 'D.N. Dream Partners']",['add some'],['Madhouse'],N/A,"['Adult Cast', 'Psychological', 'Team Sports']",Seinen
3,Hello World,1704,954,7.51,99383,225608,1292,Movie,1,Finished Airing,N/A,2019,"['Yomiuri Telecasting', 'TV Osaka', 'Mainichi Broadcasting System', 'Movic', 'Toho', 'Memory-Tech', 'Tokyo MX', 'Shueisha', 'Kansai Telecasting', 'CyberAgent', 'JR East Marketing & Communications', 'LINE Corporation', 'Marui Group', 'Lawson Entertainment', 'Hikari TV']",['add some'],['Graphinica'],"['Drama', 'Romance', 'Sci-Fi']",N/A,N/A
4,Sabikui Bisco,3281,955,7.17,88795,225283,1373,TV,12,Finished Airing,Winter,2022,"['Frontier Works', 'Yomiuri Telecasting', 'KlockWorx', 'flying DOG', 'Hakuhodo DY Music & Pictures', 'BS11', 'Kadokawa', 'Bit grooove promotion']",['add some'],['OZ'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",N/A,N/A
5,Punch Line,4416,956,6.92,91959,225168,627,TV,12,Finished Airing,Spring,2015,"['Aniplex', 'Dentsu', 'Fuji TV', 'MAGES.', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Sentai Filmworks'],['MAPPA'],"['Comedy', 'Sci-Fi', 'Supernatural', 'Ecchi']",Super Power,N/A
6,"Maou-sama, Retry!",6323,957,6.55,119780,225174,597,TV,12,Finished Airing,Summer,2019,['add some'],['Funimation'],['EKACHI EPILKA'],"['Action', 'Adventure', 'Fantasy']",Isekai,N/A
7,Bokura ga Ita,2760,958,7.26,97801,224894,1914,TV,26,Finished Airing,Summer,2006,"['Marvelous', 'Pony Canyon', 'Delfi Sound']",['add some'],['Artland'],"['Drama', 'Romance']",Love Polygon,Shoujo
8,Log Horizon: Entaku Houkai,3785,959,7.06,74220,224766,620,TV,12,Finished Airing,Winter,2021,['add some'],['Funimation'],['Studio Deen'],"['Action', 'Adventure', 'Fantasy']","['Adult Cast', 'Video Game']",N/A
9,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,20,960,8.92,127582,224701,2074,Movie,1,Finished Airing,N/A,2013,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']",Shounen
10,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,4597,961,6.88,131830,224603,161,Movie,1,Finished Airing,N/A,2005,['Bandai'],['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
11,Gochuumon wa Usagi desu ka?,1771,962,7.49,87846,224510,2137,TV,12,Finished Airing,Spring,2014,"['Frontier Works', 'Sotsu', 'Magic Capsule', 'Showgate', 'Houbunsha', 'NBCUniversal Entertainment Japan', 'RAY']",['Sentai Filmworks'],['White Fox'],N/A,"['CGDCT', 'Iyashikei', 'Workplace']",N/A
12,Kuragehime,428,963,8.12,105584,224146,4407,TV,11,Finished Airing,Fall,2010,"['Dentsu', 'Genco', 'Kodansha', 'Fuji TV', 'Toho', 'Asmik Ace', 'Sony Music Entertainment', 'Sakura Create', 'Fujipacific Music']",['Funimation'],"[""Brain's Base""]",N/A,"['Crossdressing', 'Visual Arts']",Josei
13,Binbougami ga!,1175,964,7.68,108230,224092,1194,TV,13,Finished Airing,Summer,2012,"['TV Tokyo', 'Bandai Visual', 'Dentsu', 'Trinity Sound', 'Sony Music Entertainment', 'Studio Jack', 'Shueisha']",['Funimation'],['Sunrise'],"['Comedy', 'Supernatural']",Parody,Shounen
14,Chihayafuru 2,180,965,8.39,123782,224049,1580,TV,25,Finished Airing,Winter,2013,"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Madhouse'],"['Drama', 'Sports']","['Love Polygon', 'School', 'Strategy Game']",Josei
15,Kidou Senshi Gundam: Tekketsu no Orphans,526,966,8.05,114035,223857,3005,TV,25,Finished Airing,Fall,2015,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System']",['Funimation'],['Sunrise'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Space']",N/A
16,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,1712,967,7.5,132357,223575,489,Movie,1,Finished Airing,N/A,2008,['add some'],['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
17,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,6795,968,6.48,103273,223276,1038,TV,12,Finished Airing,Spring,2021,"['AT-X', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'Bit grooove promotion']",['Funimation'],['ENGI'],"['Action', 'Comedy', 'Fantasy']",Video Game,N/A
18,Yowamushi Pedal,664,969,7.94,111414,223225,2279,TV,38,Finished Airing,Fall,2013,"['TV Tokyo', 'MediaNet', 'TOHO animation', 'Akita Shoten']",['Discotek Media'],['TMS Entertainment'],N/A,Racing,Shounen
19,Nijiiro Days,2655,970,7.28,94733,222769,696,TV,24,Finished Airing,Winter,2016,"['Tokuma Japan', 'Shueisha', 'Kyoraku Industrial Holdings', 'Yomiuri TV Enterprise']",['Funimation'],['Production Reed'],"['Comedy', 'Romance']",School,Shoujo
20,Ghost Hunt,997,971,7.76,98023,222770,2976,TV,25,Finished Airing,Fall,2006,"['TV Tokyo', 'Avex Entertainment', 'Marvelous', 'Delfi Sound']",['Funimation'],['J.C.Staff'],"['Horror', 'Mystery', 'Supernatural']",N/A,N/A
21,Edens Zero,2523,972,7.31,79205,222775,1834,TV,25,Finished Airing,Spring,2021,"['Kodansha', 'Magic Capsule', 'Nippon Television Music']",['add some'],['J.C.Staff'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",Space,Shounen
22,Big Order (TV),12164,973,5.36,106098,222570,234,TV,10,Finished Airing,Spring,2016,"['Lantis', 'Rakuonsha', 'KlockWorx']","['Discotek Media', 'Crunchyroll']",['asread.'],N/A,Super Power,Shounen
23,Sidonia no Kishi,1295,974,7.64,106958,222435,1429,TV,12,Finished Airing,Spring,2014,"['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha', 'KlockWorx']","['Funimation', 'Sentai Filmworks']",['Polygon Pictures'],"['Action', 'Sci-Fi']","['Mecha', 'Space']",Seinen
24,Terra Formars,4095,975,7.0,112642,222098,621,TV,13,Finished Airing,Fall,2014,"['Warner Bros. Japan', 'SANZIGEN', 'Ultra Super Pictures', 'MAGES.', 'Good Smile Company', 'Shueisha', 'Animatic']",['VIZ Media'],['LIDENFILMS'],"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Space', 'Survival']",Seinen
25,Pokemon: The Origin,1072,976,7.73,150515,221766,645,Special,4,Finished Airing,N/A,2013,['add some'],['The Pokemon Company International'],"['Production I.G', 'Xebec', 'OLM']","['Action', 'Adventure', 'Comedy', 'Fantasy']",N/A,Kids
26,Mahou Shoujo Site,6530,977,6.52,90836,221227,1179,TV,12,Finished Airing,Spring,2018,['Sotsu'],['Sentai Filmworks'],['production doA'],"['Drama', 'Horror', 'Supernatural']","['Gore', 'Mahou Shoujo', 'Psychological']",N/A
27,Shadows House,939,978,7.79,87646,221160,1740,TV,13,Finished Airing,Spring,2021,"['Aniplex', 'WOWOW', 'Tokyo MX', 'Shueisha', 'BS Asahi']",['Funimation'],['CloverWorks'],"['Fantasy', 'Mystery']",N/A,Seinen
28,Canaan,2908,979,7.23,84270,221057,891,TV,13,Finished Airing,Summer,2009,"['Lantis', 'Pony Canyon', 'Magic Capsule', 'Bushiroad', 'Showgate', 'Good Smile Company']",['Sentai Filmworks'],['P.A. Works'],"['Action', 'Sci-Fi', 'Supernatural']",Super Power,Seinen
29,Grisaia no Meikyuu: Caprice no Mayu 0,833,980,7.84,131844,220921,673,Special,1,Finished Airing,N/A,2015,"['Frontier Works', 'NBCUniversal Entertainment Japan', 'Front Wing']",['Sentai Filmworks'],['8bit'],N/A,N/A,N/A
30,Dance in the Vampire Bund,4103,981,7.0,105971,220854,682,TV,12,Finished Airing,Winter,2010,"['Genco', 'Media Factory', 'Rakuonsha', 'AT-X', 'flying DOG']",['Funimation'],['Shaft'],"['Action', 'Drama', 'Romance', 'Supernatural']",Vampire,Seinen
31,Tsubasa Chronicle,1681,982,7.52,94507,220635,2009,TV,26,Finished Airing,Spring,2005,"['NHK', 'Kodansha']",['Funimation'],['Bee Train'],"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural']",N/A,Shounen
32,Isekai Quartet 2,2248,983,7.37,131479,220513,247,TV,12,Finished Airing,Winter,2020,['Kadokawa'],['Funimation'],['Studio PuYUKAI'],"['Comedy', 'Fantasy']","['Isekai', 'Parody']",N/A
33,Tonari no Seki-kun,1597,984,7.54,102388,220469,620,TV,21,Finished Airing,Winter,2014,"['Starchild Records', 'Media Factory']",['Sentai Filmworks'],['Shin-Ei Animation'],N/A,School,Seinen
34,Isekai Meikyuu de Harem wo,6192,985,6.58,92851,220477,1753,TV,12,Finished Airing,Summer,2022,"['Movic', 'AT-X', 'Docomo Anime Store', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'Shufunotomo', 'Cloud22']",['add some'],['Passione'],"['Action', 'Adventure', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",N/A
35,Tiger & Bunny,795,986,7.86,88415,219627,2948,TV,25,Finished Airing,Spring,2011,"['Bandai Visual', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation']",['VIZ Media'],['Sunrise'],"['Action', 'Comedy', 'Mystery']","['Adult Cast', 'Super Power']",N/A
36,Date A Live IV,920,987,7.8,65351,219560,3240,TV,12,Finished Airing,Spring,2022,"['AT-X', 'Nippon Columbia', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa']",['Crunchyroll'],['Geek Toys'],"['Comedy', 'Romance', 'Sci-Fi']",Harem,N/A
37,Fumetsu no Anata e Season 2,523,988,8.05,34407,219456,1217,TV,20,Finished Airing,Fall,2022,"['NHK', 'Kodansha', 'NHK Enterprises']",['add some'],['Drive'],"['Adventure', 'Drama', 'Supernatural']",N/A,Shounen
38,Toaru Kagaku no Accelerator,3038,989,7.21,90765,219497,869,TV,12,Finished Airing,Summer,2019,"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],['J.C.Staff'],"['Fantasy', 'Supernatural']","['School', 'Super Power']",N/A
39,Chrno Crusade,1334,990,7.62,101984,219338,1931,TV,24,Finished Airing,Fall,2003,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']","['ADV Films', 'Funimation']",['Gonzo'],"['Action', 'Romance', 'Supernatural']","['Historical', 'Mythology']",Shounen
40,Koi to Yobu ni wa Kimochi Warui,3340,991,7.15,100607,219317,1643,TV,12,Finished Airing,Spring,2021,"['BS Fuji', 'Hokkaido Cultural Broadcasting', 'Amusement Media Academy', 'Ichijinsha', 'Kanetsu Investment', 'Sonilude', 'Toyo Recording', 'BloomZ', 'AMG Entertainment', 'MediaNet Pictures', 'Christmas Holly', 'Miyazaki Broadcasting', 'C-one']",['add some'],['Nomad'],"['Comedy', 'Romance']","['Love Polygon', 'School']",N/A
41,Princess Lover!,5587,992,6.69,109863,219078,371,TV,12,Finished Airing,Summer,2009,['Dream Force'],['add some'],['GoHands'],"['Comedy', 'Ecchi']","['Harem', 'School']",N/A
42,Hayate no Gotoku!,1670,993,7.52,95332,219080,1582,TV,52,Finished Airing,Spring,2007,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Studio Tulip']","['Bandai Entertainment', 'Sentai Filmworks']",['SynergySP'],"['Action', 'Comedy', 'Romance']","['Harem', 'Parody']",Shounen
43,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,550,994,8.03,133380,218787,658,Movie,1,Finished Airing,N/A,2008,['Notes'],['Aniplex of America'],['ufotable'],"['Action', 'Drama', 'Mystery', 'Supernatural', 'Suspense']",N/A,N/A
44,"Fuufu Ijou, Koibito Miman.",1399,995,7.6,102548,218590,2165,TV,12,Finished Airing,Fall,2022,"['AT-X', 'KlockWorx', 'Exa International', 'Sun TV', 'Kadokawa', 'Bandai Namco Music Live']",['add some'],['studio MOTHER'],"['Comedy', 'Romance']",School,Seinen
45,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,121,996,8.52,100739,218442,3072,TV,26,Finished Airing,Winter,2004,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Kodansha', 'Tokuma Shoten', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",Seinen
46,Boogiepop wa Warawanai (2019),3687,997,7.08,65339,218396,792,TV,18,Finished Airing,Winter,2019,"['AT-X', 'Kadokawa Media House', 'Kadokawa']",['Funimation'],['Madhouse'],"['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural']",Psychological,N/A
47,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,581,998,8.0,71481,218318,2070,Movie,1,Finished Airing,N/A,2021,"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa', 'Sonilude']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",Video Game,N/A
48,Kujira no Kora wa Sajou ni Utau,3264,999,7.17,99705,217960,969,TV,12,Finished Airing,Fall,2017,"['Bandai Visual', 'Lantis', 'Magic Capsule', 'Hakuhodo DY Music & Pictures', 'Akita Shoten', 'Sony PCL', 'Contents Seed']",['add some'],['J.C.Staff'],"['Drama', 'Fantasy', 'Mystery']",Super Power,Shoujo
49,Yuukoku no Moriarty Part 2,289,1000,8.26,96082,217913,2797,TV,13,Finished Airing,Spring,2021,"['Mainichi Broadcasting System', 'Shueisha', 'Yomiuri TV Enterprise', 'Bandai Namco Arts', 'Bandai Spirits']",['Funimation'],['Production I.G'],"['Mystery', 'Suspense']","['Adult Cast', 'Historical', 'Psychological']",Shounen
