,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kanokon,7306,901,6.39,116269,241081,582,TV,12,Finished Airing,Spring,2008,"['Media Factory', 'Movic', 'AT-X']",['Media Blasters'],['Xebec'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'School']",N/A
1,"Tokyo Ghoul: ""Jack""",2512,902,7.31,136457,240376,401,OVA,1,Finished Airing,N/A,2015,['add some'],['Funimation'],['Pierrot'],"['Action', 'Fantasy', 'Horror']","['Gore', 'Psychological', 'School']",Seinen
2,Natsume Yuujinchou San,90,903,8.58,112138,239965,1353,TV,13,Finished Airing,Summer,2011,"['Aniplex', 'Sakura Create']","['NIS America, Inc.']","[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
3,Naruto: Shippuuden Movie 4 - The Lost Tower,2013,904,7.42,139146,239940,207,Movie,1,Finished Airing,N/A,2010,['Toho'],['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",Time Travel,Shounen
4,Planetes,277,905,8.27,73390,239291,3804,TV,26,Finished Airing,Fall,2003,"['Bandai Visual', 'NHK']",['Bandai Entertainment'],['Sunrise'],"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']","['Adult Cast', 'Space', 'Workplace']",Seinen
5,Kakkou no Iinazuke,4225,906,6.97,79586,238999,2111,TV,24,Finished Airing,Spring,2022,"['TV Asahi', 'Kodansha', 'Crunchyroll', 'Kadokawa']",['add some'],"['SynergySP', 'Shin-Ei Animation']","['Comedy', 'Romance']",Harem,Shounen
6,Tensai Ouji no Akaji Kokka Saisei Jutsu,2105,907,7.4,109206,238424,1412,TV,12,Finished Airing,Winter,2022,"['AT-X', 'Studio Mausu', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'RAY', 'DMM pictures', 'BS NTV', 'SB Creative']",['add some'],['Yokohama Animation Lab'],"['Comedy', 'Fantasy']",N/A,N/A
7,Koi to Senkyo to Chocolate,4080,908,7.0,98857,238285,458,TV,12,Finished Airing,Summer,2012,"['Aniplex', 'AIC', 'Lantis', 'TBS', 'Magic Capsule']",['Sentai Filmworks'],['AIC Build'],"['Drama', 'Romance']","['Harem', 'School']",N/A
8,Working!!!,625,909,7.97,123386,237552,924,TV,13,Finished Airing,Summer,2015,['Aniplex'],['Aniplex of America'],['A-1 Pictures'],"['Comedy', 'Romance']",Workplace,Seinen
9,Tokyo Revengers: Seiya Kessen-hen,1237,911,7.66,29945,237001,1739,TV,13,Currently Airing,Winter,2023,"['Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'AT-X', 'Ultra Super Pictures', 'Studio Mausu', 'Sammy']",['Disney Platform Distribution'],['LIDENFILMS'],"['Action', 'Drama', 'Supernatural']","['Delinquents', 'Time Travel']",Shounen
10,Gankutsuou,416,910,8.14,71497,237127,3761,TV,24,Finished Airing,Fall,2004,"['GDH', 'TV Asahi', 'Media Factory', 'Sotsu Music Publishing']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",N/A,N/A
11,Mamahaha no Tsurego ga Motokano datta,5127,912,6.77,100340,237154,1422,TV,12,Finished Airing,Summer,2022,"['Sotsu', 'Pony Canyon', 'Movic', 'AT-X', 'KlockWorx', 'Asmik Ace', 'BS Fuji', 'DMM pictures', 'BS NTV', 'Kadokawa', 'Yomiuri Shimbun', 'APDREAM', 'Bit grooove promotion', 'Happinet Phantom Studios', 'Bergamo']",['add some'],['Project No.9'],"['Comedy', 'Romance']",N/A,N/A
12,Toaru Majutsu no Index III,4962,913,6.81,93861,236963,810,TV,26,Finished Airing,Fall,2018,"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],['J.C.Staff'],"['Action', 'Sci-Fi']",Super Power,N/A
13,Angel Beats! Another Epilogue,1907,914,7.45,141064,236888,229,Special,1,Finished Airing,N/A,2010,"['Aniplex', 'Visual Arts']",['add some'],['P.A. Works'],N/A,School,N/A
14,Zoku Natsume Yuujinchou,103,915,8.55,119500,236585,1401,TV,13,Finished Airing,Winter,2009,"['Aniplex', 'Nihon Ad Systems']","['NIS America, Inc.']","[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
15,White Album 2,1361,916,7.62,106520,236352,3232,TV,13,Finished Airing,Fall,2013,['Starchild Records'],['add some'],['Satelight'],"['Drama', 'Romance']","['Love Polygon', 'Music']",N/A
16,Sirius,4169,917,6.98,106193,235682,666,TV,12,Finished Airing,Summer,2018,"['Sotsu', 'Warner Bros. Japan', 'Infinite']",['add some'],['P.A. Works'],"['Action', 'Supernatural']","['Historical', 'Vampire']",N/A
17,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,1986,918,7.43,141968,235576,509,Movie,1,Finished Airing,N/A,2007,['Shueisha'],['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
18,Vanitas no Karte Part 2,330,919,8.21,98473,235544,2476,TV,12,Finished Airing,Winter,2022,"['Aniplex', 'Square Enix', 'Hakuhodo DY Music & Pictures', 'Contents Seed']",['Funimation'],['Bones'],N/A,"['Historical', 'Vampire']",Shounen
19,Kimetsu no Yaiba: Katanakaji no Sato-hen,/A,920,N/A,N/A,235264,2578,TV,Unknown,Not yet aired,N/A,2023,"['Aniplex', 'Shueisha']",['add some'],['ufotable'],"['Action', 'Fantasy']",Historical,Shounen
20,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,1391,921,7.6,118943,235266,502,Movie,1,Finished Airing,N/A,2019,"['TV Tokyo', 'AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa']",['add some'],['White Fox'],"['Drama', 'Fantasy', 'Suspense']",Psychological,N/A
21,Hajime no Ippo: Rising,87,922,8.59,129479,234862,1152,TV,25,Finished Airing,Fall,2013,"['VAP', 'Kodansha', 'Nippon Television Network']",['add some'],"['Madhouse', 'MAPPA']",N/A,Combat Sports,Shounen
22,Koyomimonogatari,1297,923,7.63,127418,234677,357,ONA,12,Finished Airing,N/A,2016,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],"['Comedy', 'Mystery', 'Supernatural']",N/A,N/A
23,Texhnolyze,1011,924,7.76,53954,234618,4682,TV,22,Finished Airing,Spring,2003,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],"['Action', 'Drama', 'Sci-Fi']",Psychological,N/A
24,One Piece Film: Strong World,476,925,8.09,146761,234255,444,Movie,1,Finished Airing,N/A,2009,['add some'],['Funimation'],['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
25,Omamori Himari,4820,926,6.84,117716,234037,730,TV,12,Finished Airing,Winter,2010,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Funimation'],['Zexcs'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'Mythology']",Shounen
26,Sekirei: Pure Engagement,2669,927,7.28,128795,233090,519,TV,13,Finished Airing,Summer,2010,['Aniplex'],['Funimation'],['Seven Arcs'],"['Action', 'Comedy', 'Ecchi']","['Harem', 'Super Power']",Seinen
27,Shuumatsu no Harem,9669,928,5.97,85551,232910,1913,TV,11,Finished Airing,Winter,2022,"['AT-X', 'Nippon Columbia', 'Toranoana', 'NBCUniversal Entertainment Japan', 'Office Nobu', 'Shueisha', 'Yomiuri TV Enterprise', 'Global Solutions', 'Mirai-Kojo']",['add some'],"['Studio Gokumi', 'AXsiZ']","['Sci-Fi', 'Ecchi']",Harem,Shounen
28,Natsume Yuujinchou Shi,67,929,8.65,103247,232865,1935,TV,13,Finished Airing,Winter,2012,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'Sony Music Entertainment']","['NIS America, Inc.']","[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
