,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Tamayura: Sotsugyou Shashin Part 4 - Ashita,451,5812,8.11,3047,10440,68,Movie,1,Finished Airing,N/A,2016,"['Shochiku', 'flying DOG']",['add some'],['TYO Animations'],"['Comedy', 'Drama', 'Slice of Life']","['CGDCT', 'Iyashikei']",N/A
1,"Komi-san wa, Comyushou desu. 2nd Season",452,500,8.1,186585,406659,3656,TV,12,Finished Airing,Spring,2022,"['TV Tokyo', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Half H.P Studio', 'Nippon Columbia']",['add some'],['OLM'],N/A,"['Romantic Subtext', 'School']",Shounen
2,Kuroko no Basket: Saikou no Present desu,453,1887,8.1,52432,99335,197,Special,1,Finished Airing,N/A,2015,"['Bandai Visual', 'Nihon Ad Systems']",['add some'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
3,Overlord IV,454,469,8.1,191026,430345,6463,TV,13,Finished Airing,Summer,2022,"['AT-X', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['add some'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",Isekai,N/A
4,Shokugeki no Souma: Ni no Sara,455,123,8.1,687874,1077738,3042,TV,13,Finished Airing,Summer,2016,"['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
5,Tonikaku Kawaii: SNS,456,1564,8.1,64984,127218,704,OVA,1,Finished Airing,N/A,2021,['Warner Bros. Japan'],['Crunchyroll'],['Seven Arcs'],"['Comedy', 'Romance']",N/A,Shounen
6,Tsubasa: Shunraiki,457,2563,8.1,29161,60419,252,OVA,2,Finished Airing,N/A,2009,['Kodansha'],['Funimation'],['Production I.G'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",N/A,Shounen
7,Tsukimonogatari,458,514,8.1,226109,399107,943,TV,4,Finished Airing,Fall,2014,['Aniplex'],['Aniplex of America'],['Shaft'],"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",N/A,N/A
8,Uchouten Kazoku 2,459,2538,8.1,24589,61443,297,TV,12,Finished Airing,Spring,2017,"['Lantis', 'Good Smile Company', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'DMM.com', 'Cygames']",['add some'],['P.A. Works'],"['Comedy', 'Drama', 'Fantasy', 'Slice of Life']",Mythology,N/A
9,Zankyou no Terror,460,122,8.1,582164,1093315,21176,TV,11,Finished Airing,Summer,2014,"['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings']",['Funimation'],['MAPPA'],"['Mystery', 'Suspense']",Psychological,N/A
