,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Paprika,530,401,8.04,248834,495979,4194,Movie,1,Finished Airing,N/A,2006,"['Sony Pictures Entertainment', 'Cyclone Graphics']",['add some'],['Madhouse'],"['Avant Garde', 'Award Winning', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Psychological']",N/A
1,Dorohedoro,506,402,8.06,248759,491139,7770,TV,12,Finished Airing,Winter,2020,"['Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'BS11', 'Shogakukan', 'Sumitomo', 'RAY', 'Pia']",['add some'],['MAPPA'],"['Action', 'Comedy', 'Fantasy', 'Horror']",Gore,Seinen
2,Shokugeki no Souma: Gou no Sara,2479,403,7.32,243087,487374,1267,TV,13,Finished Airing,Spring,2020,['add some'],['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
3,Sousei no Onmyouji,2555,404,7.3,204398,486987,2867,TV,50,Finished Airing,Spring,2016,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Avex Pictures', 'Shueisha']",['Crunchyroll'],['Pierrot'],"['Action', 'Fantasy', 'Romance']",N/A,Shounen
4,Black Lagoon: The Second Barrage,377,405,8.17,299303,486989,2938,TV,12,Finished Airing,Fall,2006,"['Geneon Universal Entertainment', 'Front Line']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],N/A,"['Adult Cast', 'Organized Crime']",Seinen
5,Citrus,6905,406,6.46,258110,486443,3688,TV,12,Finished Airing,Winter,2018,"['Sotsu', 'Lantis', 'AT-X', 'KlockWorx', 'Happinet Pictures', 'BS Fuji', 'Tokyo MX', 'Infinite', ""Children's Playground Entertainment"", 'Ichijinsha', 'Crunchyroll SC Anime Fund']",['Funimation'],['Passione'],"['Drama', 'Girls Love', 'Romance']",School,N/A
6,Inu x Boku SS,2172,407,7.39,228370,486159,3172,TV,12,Finished Airing,Winter,2012,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic']",['Sentai Filmworks'],['David Production'],"['Comedy', 'Drama', 'Romance', 'Supernatural']","['Mythology', 'School']",Shounen
7,Zero no Tsukaima: Futatsuki no Kishi,2093,408,7.41,299086,485760,1246,TV,12,Finished Airing,Summer,2007,"['Genco', 'Media Factory', 'Shochiku', 'Happinet Pictures']",['Sentai Filmworks'],['J.C.Staff'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai', 'School']",N/A
8,Megalo Box,762,409,7.88,256910,481779,3368,TV,13,Finished Airing,Spring,2018,"['TBS', 'Kodansha', 'Bandai Namco Arts', 'TMS Music']",['VIZ Media'],['TMS Entertainment'],"['Sci-Fi', 'Sports']",Combat Sports,N/A
9,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,1513,410,7.56,266775,480384,3468,TV,12,Finished Airing,Winter,2020,"['AT-X', 'MAGES.', 'Docomo Anime Store', 'Sammy', 'ABC Animation', 'Kadokawa Media House', 'Kadokawa', 'D-techno']",['Funimation'],['SILVER LINK.'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",Video Game,N/A
