,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Dororo,301,116,8.24,566932,1112607,18813,TV,24,Finished Airing,Winter,2019,['Twin Engine'],['Sentai Filmworks'],"['Tezuka Productions', 'MAPPA']","['Action', 'Adventure', 'Supernatural']","['Historical', 'Mythology', 'Samurai']",Shounen
1,Golden Kamuy 2nd Season,302,1169,8.24,99690,182729,890,TV,12,Finished Airing,Fall,2018,"['Magic Capsule', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Good Smile Company', 'Sammy', 'Shueisha', 'JR East Marketing & Communications', 'Twin Engine']",['Funimation'],['Geno Studio'],"['Action', 'Adventure']","['Adult Cast', 'Historical', 'Military']",Seinen
2,Great Pretender,303,325,8.24,287823,595338,9271,TV,23,Finished Airing,Summer,2020,"['Production I.G', 'Fuji TV', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners']",['add some'],['Wit Studio'],"['Action', 'Adventure', 'Mystery']",Adult Cast,N/A
3,Youjo Senki Movie,304,856,8.24,132458,251873,983,Movie,1,Finished Airing,N/A,2019,"['AT-X', 'Sony Music Communications', 'Kadokawa', 'Kadokawa Animation']",['add some'],['Nut'],"['Action', 'Fantasy']","['Isekai', 'Magical Sex Shift', 'Military', 'Reincarnation']",N/A
4,Nodame Cantabile: Finale,305,1600,8.24,67607,124067,406,TV,11,Finished Airing,Winter,2010,"['Dentsu', 'Genco', 'SKY Perfect Well Think', 'Kodansha', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['add some'],['J.C.Staff'],"['Comedy', 'Romance']","['Adult Cast', 'Music']",Josei
5,Re:Zero kara Hajimeru Isekai Seikatsu,306,24,8.24,1318554,2046239,63616,TV,25,Finished Airing,Spring,2016,"['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Memory-Tech', 'Hakuhodo DY Music & Pictures']",['Funimation'],['White Fox'],"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",N/A
6,Sasaki to Miyano,307,1336,8.24,64113,158661,4021,TV,12,Finished Airing,Winter,2022,"['Frontier Works', 'Movic', 'Nippon Columbia', 'Sound Team Don Juan', 'TV Aichi', 'Kadokawa Media House', 'U-NEXT', 'BS NTV', 'Kadokawa']",['add some'],['Studio Deen'],"['Boys Love', 'Slice of Life']","['Otaku Culture', 'School']",N/A
7,Major S3,308,2428,8.23,41744,66418,351,TV,26,Finished Airing,Winter,2007,"['Shogakukan-Shueisha Productions', 'NHK']",['add some'],['Studio Hibari'],N/A,Team Sports,Shounen
8,One Piece Movie 14: Stampede,309,1305,8.23,100557,162671,625,Movie,1,Finished Airing,N/A,2019,['add some'],['Funimation'],['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
9,Ookami to Koushinryou,310,216,8.23,374675,774077,17407,TV,13,Finished Airing,Winter,2008,"['Victor Entertainment', 'Pony Canyon', 'Movic', 'Kadokawa Pictures Japan']","['Funimation', 'Kadokawa Pictures USA']",['Imagin'],"['Adventure', 'Fantasy', 'Romance']",Adult Cast,N/A
