,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,551,938,8.03,136091,230800,428,OVA,1,Finished Airing,N/A,2016,['5pb.'],['add some'],['feel.'],"['Comedy', 'Romance']","['Love Polygon', 'School']",N/A
1,Yofukashi no Uta,552,421,8.03,184722,470623,6007,TV,13,Finished Airing,Summer,2022,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Animax', 'Fuji TV', 'Ultra Super Pictures', 'Shogakukan', 'Fuji Creative', 'Tohan Corporation']",['Sentai Filmworks'],['LIDENFILMS'],"['Romance', 'Supernatural']",Vampire,Shounen
2,Tsumiki no Ie,553,1977,8.02,51910,92764,474,Movie,1,Finished Airing,N/A,2008,['Robot Communications'],['add some'],['Oh! Production'],"['Award Winning', 'Drama']",N/A,N/A
3,Zombieland Saga Revenge,554,1101,8.02,75375,196219,1440,TV,12,Finished Airing,Spring,2021,"['AT-X', 'Avex Pictures', 'CyberAgent', 'dugout']",['Funimation'],['MAPPA'],"['Comedy', 'Supernatural']","['Idols (Female)', 'Music', 'Parody']",N/A
4,Magi: The Labyrinth of Magic,555,142,8.02,526008,990309,8908,TV,25,Finished Airing,Fall,2012,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'GYAO!']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
5,Omae Umasou da na,556,4634,8.02,7672,18559,174,Movie,1,Finished Airing,N/A,2010,"['TMS Entertainment', 'MediaNet', 'Kids Station', 'Happinet Pictures', 'Tokyo Theatres']",['Discotek Media'],['Ajia-do'],"['Action', 'Adventure', 'Fantasy']","['Anthropomorphic', 'Childcare']",Kids
6,Persona 3 the Movie 4: Winter of Rebirth,557,2397,8.02,32236,67818,619,Movie,1,Finished Airing,N/A,2016,"['Aniplex', 'Atlus']",['add some'],['A-1 Pictures'],"['Action', 'Fantasy', 'Supernatural']",N/A,N/A
7,Shokugeki no Souma: San no Sara,558,156,8.02,561103,919268,2617,TV,12,Finished Airing,Fall,2017,"['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],"['Gourmet', 'Ecchi']",School,Shounen
8,Slayers Next,559,2405,8.02,36376,67568,830,TV,26,Finished Airing,Spring,1996,"['J.C.Staff', 'TV Tokyo', 'SoftX']","['Funimation', 'Central Park Media', 'Enoki Films']",['E&G Films'],"['Adventure', 'Comedy', 'Fantasy']",Mythology,N/A
9,Toaru Kagaku no Railgun S,560,560,8.02,195632,370137,3720,TV,24,Finished Airing,Spring,2013,"['Geneon Universal Entertainment', 'Movic', 'AT-X', 'Warner Bros. Japan', 'ASCII Media Works']",['Funimation'],['J.C.Staff'],"['Action', 'Sci-Fi']",Super Power,N/A
10,Baby Steps 2nd Season,561,2054,8.02,52847,87901,302,TV,25,Finished Airing,Spring,2015,['NHK'],['add some'],['Pierrot'],N/A,School,Shounen
11,Black Lagoon: Roberta's Blood Trail,562,783,8.02,158259,277569,1210,OVA,5,Finished Airing,N/A,2010,['Geneon Universal Entertainment'],['Funimation'],['Madhouse'],N/A,"['Adult Cast', 'Organized Crime']",Seinen
12,D.Gray-man,563,272,8.02,277980,665296,13526,TV,103,Finished Airing,Fall,2006,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment', 'Studio Jack']",['Funimation'],['TMS Entertainment'],"['Action', 'Adventure', 'Comedy']","['Mythology', 'Super Power']",Shounen
13,Douluo Dalu 2nd Season,564,4735,8.02,7214,17630,297,ONA,Unknown,Currently Airing,N/A,2018,"['Tencent Penguin Pictures', 'Xuanshi Tangmen']",['add some'],['Sparkly Key Animation Studio'],"['Action', 'Adventure', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",N/A
14,Eve no Jikan,565,1206,8.02,76320,177519,1228,ONA,6,Finished Airing,N/A,2008,"['Directions', 'Code', 'Trick Block']",['add some'],['Studio Rikka'],"['Sci-Fi', 'Slice of Life']",N/A,N/A
15,Ginga Nagareboshi Gin,566,4008,8.02,11026,25645,805,TV,21,Finished Airing,Spring,1986,['TV Asahi'],['add some'],['Toei Animation'],"['Action', 'Adventure', 'Drama']",Anthropomorphic,Shounen
16,Detective Conan Movie 15: Quarter of Silence,567,2990,8.01,26206,45359,53,Movie,1,Finished Airing,N/A,2011,"['Shogakukan-Shueisha Productions', 'Tokyo Movie Shinsha', 'Toho']",['add some'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Mystery']",Detective,Shounen
17,Evangelion: 1.0 You Are (Not) Alone,568,373,8.01,323463,526196,1822,Movie,1,Finished Airing,N/A,2007,['add some'],['Funimation'],['Khara'],"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",N/A
18,Hachimitsu to Clover,569,840,8.01,80947,256618,4112,TV,24,Finished Airing,Spring,2005,"['Dentsu', 'Genco', 'Fuji TV', 'Asmik Ace', 'Shueisha']","['VIZ Media', 'Discotek Media']",['J.C.Staff'],"['Comedy', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Visual Arts']",Josei
